+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.22 | -86.00 | 0.61 |      45     |   79.56    |
|  Gen 2   | 48.00 | -74.70 | 0.59 |      47     |   79.11    |
|  Gen 3   | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
|  Gen 4   | 50.67 | -81.80 | 0.57 |      52     |   76.44    |
|  Gen 5   | 51.56 | -75.10 | 0.58 |      58     |   74.22    |
|  Gen 6   | 52.00 | -86.20 | 0.56 |      52     |   76.89    |
|  Gen 7   | 52.00 | -76.70 | 0.57 |      50     |   77.33    |
|  Gen 8   | 49.33 | -77.13 | 0.57 |      52     |   76.89    |
|  Gen 9   | 50.22 | -73.73 | 0.57 |      54     |   76.00    |
|  Gen 10  | 51.11 | -76.20 | 0.56 |      51     |   77.33    |
|  Gen 11  | 47.11 | -75.00 | 0.55 |      46     |   79.56    |
|  Gen 12  | 50.67 | -77.60 | 0.55 |      47     |   79.11    |
|  Gen 13  | 51.11 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 14  | 48.89 | -81.90 | 0.54 |      43     |   80.89    |
|  Gen 15  | 49.78 | -77.67 | 0.55 |      47     |   79.11    |
|  Gen 16  | 51.11 | -85.13 | 0.53 |      48     |   78.67    |
|  Gen 17  | 50.67 | -71.40 | 0.55 |      48     |   78.67    |
|  Gen 18  | 52.00 | -72.93 | 0.55 |      56     |   74.67    |
|  Gen 19  | 50.67 | -72.10 | 0.55 |      46     |   79.56    |
|  Gen 20  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 21  | 48.00 | -79.40 | 0.54 |      51     |   76.44    |
|  Gen 22  | 50.22 | -78.50 | 0.53 |      53     |   76.44    |
|  Gen 23  | 47.56 | -71.17 | 0.54 |      53     |   76.44    |
|  Gen 24  | 49.78 | -69.97 | 0.54 |      46     |   79.56    |
|  Gen 25  | 50.22 | -75.73 | 0.53 |      45     |   79.56    |
|  Gen 26  | 50.67 | -73.30 | 0.54 |      46     |   79.11    |
|  Gen 27  | 50.67 | -73.80 | 0.54 |      57     |   74.67    |
|  Gen 28  | 47.56 | -74.70 | 0.53 |      46     |   79.11    |
|  Gen 29  | 51.56 | -72.00 | 0.54 |      47     |   78.67    |
|  Gen 30  | 48.89 | -74.13 | 0.53 |      48     |   78.22    |
|  Gen 31  | 52.00 | -81.67 | 0.52 |      55     |   75.56    |
|  Gen 32  | 50.22 | -73.33 | 0.53 |      49     |   78.22    |
|  Gen 33  | 47.56 | -69.33 | 0.54 |      48     |   78.67    |
|  Gen 34  | 49.78 | -72.03 | 0.53 |      51     |   77.33    |
|  Gen 35  | 51.11 | -71.87 | 0.53 |      60     |   72.89    |
|  Gen 36  | 48.89 | -65.87 | 0.54 |      53     |   76.44    |
|  Gen 37  | 49.33 | -69.30 | 0.53 |      56     |   75.11    |
|  Gen 38  | 49.78 | -73.57 | 0.52 |      47     |   79.11    |
|  Gen 39  | 49.33 | -77.33 | 0.52 |      46     |   79.56    |
|  Gen 40  | 46.22 | -69.67 | 0.53 |      52     |   76.44    |
|  Gen 41  | 49.78 | -77.97 | 0.51 |      51     |   76.89    |
|  Gen 42  | 49.78 | -75.00 | 0.52 |      53     |   76.44    |
|  Gen 43  | 48.89 | -73.87 | 0.52 |      57     |   74.67    |
|  Gen 44  | 51.56 | -78.07 | 0.51 |      58     |   72.89    |
|  Gen 45  | 48.89 | -72.20 | 0.52 |      47     |   78.67    |
|  Gen 46  | 51.11 | -73.10 | 0.52 |      60     |   72.89    |
|  Gen 47  | 50.22 | -70.10 | 0.52 |      58     |   73.78    |
|  Gen 48  | 50.22 | -71.97 | 0.52 |      51     |   77.33    |
|  Gen 49  | 52.44 | -78.50 | 0.51 |      60     |   73.33    |
|  Gen 50  | 51.56 | -81.20 | 0.50 |      59     |   73.33    |
| Best GC  | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
| Best MFE | 52.00 | -86.20 | 0.56 |      52     |   76.89    |
| Best CAI | 50.22 | -86.00 | 0.61 |      45     |   79.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
