Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 50.73 | -285.97 | 0.54 |  0.75  |     165     |   75.88    |      0      |
|  Gen 2  | 50.00 | -297.60 | 0.50 |  0.74  |     179     |   73.25    |      0      |
|  Gen 3  | 50.44 | -282.40 | 0.53 |  0.74  |     166     |   75.29    |      0      |
|  Gen 4  | 49.12 | -293.93 | 0.52 |  0.74  |     151     |   77.92    |      0      |
|  Gen 5  | 50.88 | -281.20 | 0.51 |  0.73  |     157     |   76.90    |      0      |
|  Gen 6  | 50.00 | -282.63 | 0.53 |  0.73  |     157     |   76.61    |      0      |
|  Gen 7  | 50.58 | -275.13 | 0.54 |  0.73  |     165     |   75.88    |      0      |
|  Gen 8  | 49.12 | -291.33 | 0.52 |  0.73  |     163     |   76.02    |      0      |
|  Gen 9  | 50.15 | -276.83 | 0.54 |  0.73  |     163     |   75.88    |      0      |
|  Gen 10 | 49.71 | -282.67 | 0.52 |  0.73  |     172     |   74.56    |      0      |
|  Gen 11 | 49.71 | -278.30 | 0.53 |  0.73  |     161     |   76.17    |      0      |
|  Gen 12 | 49.85 | -281.73 | 0.52 |  0.73  |     165     |   75.73    |      0      |
|  Gen 13 | 48.83 | -282.17 | 0.54 |  0.72  |     165     |   75.88    |      0      |
|  Gen 14 | 49.12 | -277.00 | 0.54 |  0.72  |     168     |   75.15    |      0      |
|  Gen 15 | 50.00 | -276.37 | 0.52 |  0.72  |     162     |   75.88    |      0      |
|  Gen 16 | 49.85 | -276.53 | 0.52 |  0.72  |     157     |   76.90    |      0      |
|  Gen 17 | 50.88 | -271.70 | 0.51 |  0.72  |     176     |   73.98    |      0      |
|  Gen 18 | 49.42 | -281.77 | 0.51 |  0.72  |     162     |   76.32    |      0      |
|  Gen 19 | 49.42 | -279.90 | 0.51 |  0.72  |     171     |   74.85    |      0      |
|  Gen 20 | 50.29 | -266.93 | 0.53 |  0.72  |     159     |   76.32    |      0      |
|  Gen 21 | 49.56 | -276.97 | 0.51 |  0.72  |     164     |   75.88    |      0      |
|  Gen 22 | 47.37 | -289.47 | 0.53 |  0.72  |     164     |   75.88    |      0      |
|  Gen 23 | 49.71 | -276.20 | 0.51 |  0.71  |     160     |   76.61    |      0      |
|  Gen 24 | 48.25 | -280.77 | 0.53 |  0.71  |     166     |   75.58    |      0      |
|  Gen 25 | 50.29 | -260.83 | 0.55 |  0.71  |     157     |   76.61    |      0      |
|  Gen 26 | 49.27 | -276.73 | 0.52 |  0.71  |     153     |   77.05    |      0      |
|  Gen 27 | 49.42 | -280.43 | 0.50 |  0.71  |     155     |   77.34    |      0      |
|  Gen 28 | 49.12 | -286.40 | 0.49 |  0.71  |     174     |   74.27    |      0      |
|  Gen 29 | 49.85 | -270.30 | 0.52 |  0.71  |     173     |   74.71    |      0      |
|  Gen 30 | 48.83 | -279.90 | 0.51 |  0.71  |     162     |   75.58    |      0      |
|  Gen 31 | 48.83 | -279.30 | 0.51 |  0.71  |     173     |   74.56    |      0      |
|  Gen 32 | 49.12 | -279.40 | 0.50 |  0.71  |     176     |   74.27    |      0      |
|  Gen 33 | 49.27 | -271.37 | 0.52 |  0.71  |     163     |   75.88    |      0      |
|  Gen 34 | 48.68 | -277.73 | 0.52 |  0.71  |     167     |   75.58    |      0      |
|  Gen 35 | 49.85 | -269.70 | 0.51 |  0.71  |     169     |   75.15    |      0      |
|  Gen 36 | 49.85 | -271.47 | 0.50 |  0.70  |     159     |   76.46    |      0      |
|  Gen 37 | 49.12 | -267.00 | 0.52 |  0.70  |     159     |   76.61    |      0      |
|  Gen 38 | 48.39 | -275.20 | 0.51 |  0.70  |     177     |   74.12    |      0      |
|  Gen 39 | 48.54 | -275.77 | 0.51 |  0.70  |     160     |   76.02    |      0      |
|  Gen 40 | 48.68 | -278.20 | 0.49 |  0.70  |     159     |   76.75    |      0      |
|  Gen 41 | 48.68 | -270.73 | 0.52 |  0.70  |     162     |   76.17    |      0      |
|  Gen 42 | 48.83 | -269.43 | 0.51 |  0.70  |     168     |   74.85    |      0      |
|  Gen 43 | 48.54 | -269.83 | 0.52 |  0.70  |     170     |   74.71    |      0      |
|  Gen 44 | 48.98 | -273.53 | 0.49 |  0.70  |     170     |   74.85    |      0      |
|  Gen 45 | 49.27 | -274.90 | 0.48 |  0.70  |     175     |   73.98    |      0      |
|  Gen 46 | 47.95 | -273.47 | 0.52 |  0.70  |     157     |   77.05    |      0      |
|  Gen 47 | 48.54 | -276.63 | 0.49 |  0.69  |     171     |   74.71    |      0      |
|  Gen 48 | 49.56 | -263.20 | 0.50 |  0.69  |     163     |   76.02    |      0      |
|  Gen 49 | 48.54 | -263.43 | 0.53 |  0.69  |     144     |   78.95    |      0      |
|  Gen 50 | 48.25 | -276.33 | 0.49 |  0.69  |     165     |   75.73    |      0      |
| Natural | 51.17 | -279.80 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
