Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 53.78 | -89.77 | 0.56 |  0.77  |      52     |   76.89    |      0      |
|  Gen 2  | 50.67 | -86.70 | 0.62 |  0.75  |      46     |   79.11    |      0      |
|  Gen 3  | 53.78 | -76.40 | 0.58 |  0.73  |      58     |   74.22    |      0      |
|  Gen 4  | 52.89 | -83.83 | 0.51 |  0.72  |      60     |   73.33    |      0      |
|  Gen 5  | 51.11 | -85.13 | 0.53 |  0.71  |      48     |   78.67    |      0      |
|  Gen 6  | 50.67 | -81.80 | 0.57 |  0.71  |      52     |   76.44    |      0      |
|  Gen 7  | 52.00 | -76.70 | 0.57 |  0.70  |      50     |   77.33    |      0      |
|  Gen 8  | 52.00 | -81.67 | 0.52 |  0.70  |      55     |   75.56    |      0      |
|  Gen 9  | 52.00 | -82.97 | 0.49 |  0.70  |      54     |   76.00    |      0      |
|  Gen 10 | 52.00 | -81.20 | 0.51 |  0.70  |      60     |   72.89    |      0      |
|  Gen 11 | 51.56 | -75.10 | 0.58 |  0.70  |      58     |   74.22    |      0      |
|  Gen 12 | 51.11 | -77.40 | 0.56 |  0.69  |      43     |   80.44    |      0      |
|  Gen 13 | 49.33 | -81.47 | 0.55 |  0.69  |      44     |   80.44    |      0      |
|  Gen 14 | 49.78 | -79.43 | 0.55 |  0.69  |      53     |   76.44    |      0      |
|  Gen 15 | 50.22 | -78.83 | 0.54 |  0.68  |      52     |   76.89    |      0      |
|  Gen 16 | 51.56 | -78.07 | 0.51 |  0.68  |      58     |   72.89    |      0      |
|  Gen 17 | 52.00 | -76.30 | 0.52 |  0.68  |      51     |   77.33    |      0      |
|  Gen 18 | 48.44 | -82.30 | 0.55 |  0.68  |      51     |   76.44    |      0      |
|  Gen 19 | 51.11 | -74.90 | 0.55 |  0.68  |      52     |   76.89    |      0      |
|  Gen 20 | 50.22 | -76.50 | 0.55 |  0.68  |      48     |   78.67    |      0      |
|  Gen 21 | 52.44 | -72.53 | 0.53 |  0.68  |      56     |   74.67    |      0      |
|  Gen 22 | 49.78 | -77.67 | 0.55 |  0.68  |      47     |   79.11    |      0      |
|  Gen 23 | 50.22 | -73.73 | 0.57 |  0.68  |      54     |   76.00    |      0      |
|  Gen 24 | 51.11 | -73.30 | 0.54 |  0.67  |      45     |   79.56    |      0      |
|  Gen 25 | 51.11 | -70.80 | 0.57 |  0.67  |      47     |   79.11    |      0      |
|  Gen 26 | 51.56 | -72.10 | 0.54 |  0.67  |      46     |   79.11    |      0      |
|  Gen 27 | 50.67 | -75.73 | 0.52 |  0.67  |      50     |   77.78    |      0      |
|  Gen 28 | 50.22 | -75.93 | 0.53 |  0.67  |      52     |   76.89    |      0      |
|  Gen 29 | 50.22 | -76.07 | 0.52 |  0.67  |      54     |   76.00    |      0      |
|  Gen 30 | 51.56 | -73.10 | 0.52 |  0.67  |      61     |   72.44    |      0      |
|  Gen 31 | 48.00 | -74.70 | 0.59 |  0.67  |      47     |   79.11    |      0      |
|  Gen 32 | 50.67 | -71.40 | 0.55 |  0.66  |      48     |   78.67    |      0      |
|  Gen 33 | 49.33 | -77.50 | 0.52 |  0.66  |      45     |   80.00    |      0      |
|  Gen 34 | 51.11 | -71.87 | 0.53 |  0.66  |      60     |   72.89    |      0      |
|  Gen 35 | 50.22 | -69.87 | 0.57 |  0.66  |      49     |   78.22    |      0      |
|  Gen 36 | 49.33 | -73.30 | 0.55 |  0.66  |      53     |   76.00    |      0      |
|  Gen 37 | 50.22 | -74.47 | 0.52 |  0.66  |      52     |   76.89    |      0      |
|  Gen 38 | 50.22 | -74.10 | 0.52 |  0.66  |      47     |   79.11    |      0      |
|  Gen 39 | 50.67 | -71.20 | 0.54 |  0.66  |      54     |   76.00    |      0      |
|  Gen 40 | 49.33 | -77.10 | 0.51 |  0.66  |      54     |   76.00    |      0      |
|  Gen 41 | 49.33 | -73.93 | 0.54 |  0.65  |      50     |   77.33    |      0      |
|  Gen 42 | 49.33 | -74.17 | 0.53 |  0.65  |      57     |   74.67    |      0      |
|  Gen 43 | 50.22 | -77.20 | 0.47 |  0.65  |      49     |   77.78    |      0      |
|  Gen 44 | 51.56 | -71.20 | 0.50 |  0.65  |      58     |   74.22    |      0      |
|  Gen 45 | 50.67 | -75.03 | 0.48 |  0.65  |      53     |   76.44    |      0      |
|  Gen 46 | 49.78 | -72.90 | 0.52 |  0.65  |      57     |   74.22    |      0      |
|  Gen 47 | 48.89 | -71.70 | 0.55 |  0.65  |      57     |   73.78    |      0      |
|  Gen 48 | 49.78 | -72.67 | 0.51 |  0.64  |      51     |   76.89    |      0      |
|  Gen 49 | 47.11 | -75.00 | 0.55 |  0.64  |      46     |   79.56    |      0      |
|  Gen 50 | 49.78 | -71.13 | 0.52 |  0.64  |      51     |   77.33    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
