Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 56.39 | -143.73 | 0.59 |  0.81  |     101     |   71.67    |      0      |
|  Gen 2  | 53.89 | -151.77 | 0.56 |  0.79  |      90     |   74.44    |      0      |
|  Gen 3  | 54.17 | -145.20 | 0.56 |  0.78  |     102     |   71.67    |      0      |
|  Gen 4  | 54.17 | -149.10 | 0.53 |  0.78  |     109     |   69.44    |      0      |
|  Gen 5  | 54.44 | -150.17 | 0.50 |  0.77  |     106     |   70.56    |      0      |
|  Gen 6  | 53.33 | -145.40 | 0.55 |  0.77  |      85     |   76.39    |      0      |
|  Gen 7  | 53.06 | -146.57 | 0.55 |  0.77  |      92     |   74.44    |      0      |
|  Gen 8  | 51.67 | -155.80 | 0.51 |  0.76  |     102     |   71.67    |      0      |
|  Gen 9  | 50.56 | -151.70 | 0.56 |  0.76  |      93     |   73.89    |      0      |
|  Gen 10 | 54.44 | -140.20 | 0.53 |  0.76  |      99     |   72.22    |      0      |
|  Gen 11 | 52.50 | -149.30 | 0.52 |  0.76  |      94     |   73.89    |      0      |
|  Gen 12 | 53.33 | -144.30 | 0.53 |  0.76  |     104     |   71.11    |      0      |
|  Gen 13 | 52.50 | -149.33 | 0.52 |  0.76  |      89     |   75.00    |      0      |
|  Gen 14 | 51.94 | -147.70 | 0.54 |  0.76  |      98     |   72.78    |      0      |
|  Gen 15 | 51.11 | -142.30 | 0.58 |  0.75  |     101     |   71.67    |      0      |
|  Gen 16 | 52.78 | -142.03 | 0.53 |  0.75  |      95     |   73.33    |      0      |
|  Gen 17 | 54.17 | -138.57 | 0.52 |  0.75  |     109     |   69.72    |      0      |
|  Gen 18 | 51.39 | -142.70 | 0.56 |  0.75  |     103     |   71.39    |      0      |
|  Gen 19 | 53.33 | -137.00 | 0.55 |  0.75  |      98     |   72.50    |      0      |
|  Gen 20 | 51.94 | -140.63 | 0.55 |  0.74  |      93     |   73.61    |      0      |
|  Gen 21 | 51.94 | -143.90 | 0.53 |  0.74  |      95     |   73.61    |      0      |
|  Gen 22 | 52.50 | -140.30 | 0.54 |  0.74  |     105     |   70.28    |      0      |
|  Gen 23 | 51.39 | -139.63 | 0.57 |  0.74  |      95     |   73.61    |      0      |
|  Gen 24 | 51.39 | -143.83 | 0.54 |  0.74  |      89     |   75.28    |      0      |
|  Gen 25 | 53.61 | -134.80 | 0.54 |  0.74  |     102     |   71.39    |      0      |
|  Gen 26 | 51.39 | -143.90 | 0.53 |  0.74  |      93     |   74.17    |      0      |
|  Gen 27 | 52.22 | -139.53 | 0.53 |  0.73  |      99     |   72.22    |      0      |
|  Gen 28 | 53.06 | -139.03 | 0.52 |  0.73  |     104     |   70.83    |      0      |
|  Gen 29 | 52.78 | -142.50 | 0.50 |  0.73  |      94     |   73.89    |      0      |
|  Gen 30 | 53.61 | -137.53 | 0.51 |  0.73  |      93     |   73.89    |      0      |
|  Gen 31 | 52.22 | -142.67 | 0.51 |  0.73  |     100     |   72.22    |      0      |
|  Gen 32 | 51.11 | -142.20 | 0.53 |  0.73  |      98     |   72.22    |      0      |
|  Gen 33 | 52.22 | -142.03 | 0.51 |  0.73  |      98     |   72.78    |      0      |
|  Gen 34 | 52.50 | -138.50 | 0.52 |  0.73  |      95     |   73.61    |      0      |
|  Gen 35 | 52.50 | -135.57 | 0.54 |  0.73  |      94     |   73.89    |      0      |
|  Gen 36 | 53.06 | -135.10 | 0.53 |  0.73  |      86     |   76.11    |      0      |
|  Gen 37 | 52.78 | -134.10 | 0.54 |  0.73  |      93     |   74.17    |      0      |
|  Gen 38 | 51.94 | -142.00 | 0.51 |  0.73  |      97     |   72.78    |      0      |
|  Gen 39 | 51.39 | -142.60 | 0.52 |  0.73  |      95     |   73.61    |      0      |
|  Gen 40 | 53.61 | -134.73 | 0.51 |  0.73  |      98     |   72.78    |      0      |
|  Gen 41 | 50.83 | -141.23 | 0.54 |  0.73  |      97     |   72.78    |      0      |
|  Gen 42 | 51.94 | -140.90 | 0.51 |  0.73  |      98     |   72.78    |      0      |
|  Gen 43 | 52.22 | -145.17 | 0.48 |  0.73  |     100     |   71.94    |      0      |
|  Gen 44 | 52.78 | -142.67 | 0.48 |  0.73  |      92     |   74.44    |      0      |
|  Gen 45 | 51.67 | -139.00 | 0.53 |  0.73  |     103     |   71.11    |      0      |
|  Gen 46 | 51.94 | -140.50 | 0.51 |  0.73  |     100     |   72.22    |      0      |
|  Gen 47 | 52.50 | -136.70 | 0.52 |  0.72  |      90     |   74.72    |      0      |
|  Gen 48 | 53.06 | -133.63 | 0.52 |  0.72  |     108     |   69.44    |      0      |
|  Gen 49 | 51.67 | -144.03 | 0.49 |  0.72  |     102     |   71.67    |      0      |
|  Gen 50 | 51.39 | -139.30 | 0.52 |  0.72  |     103     |   71.11    |      0      |
| Natural | 43.89 | -114.33 | 0.50 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
