Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 54.55 | -37.10 | 0.58 |  0.76  |      22     |   77.78    |      0      |
|  Gen 2  | 54.55 | -36.53 | 0.57 |  0.76  |      26     |   73.74    |      0      |
|  Gen 3  | 56.57 | -32.50 | 0.58 |  0.74  |      23     |   76.77    |      0      |
|  Gen 4  | 53.54 | -36.10 | 0.56 |  0.74  |      21     |   78.79    |      0      |
|  Gen 5  | 52.53 | -31.10 | 0.65 |  0.72  |      25     |   73.74    |      0      |
|  Gen 6  | 50.51 | -36.80 | 0.57 |  0.72  |      24     |   75.76    |      0      |
|  Gen 7  | 51.52 | -36.10 | 0.53 |  0.71  |      24     |   75.76    |      0      |
|  Gen 8  | 52.53 | -30.90 | 0.60 |  0.70  |      25     |   73.74    |      0      |
|  Gen 9  | 54.55 | -34.20 | 0.47 |  0.69  |      26     |   73.74    |      0      |
|  Gen 10 | 53.54 | -31.00 | 0.55 |  0.69  |      24     |   75.76    |      0      |
|  Gen 11 | 51.52 | -37.60 | 0.45 |  0.69  |      28     |   71.72    |      0      |
|  Gen 12 | 51.52 | -33.40 | 0.54 |  0.69  |      22     |   77.78    |      0      |
|  Gen 13 | 50.51 | -35.60 | 0.51 |  0.68  |      22     |   77.78    |      0      |
|  Gen 14 | 51.52 | -32.60 | 0.54 |  0.68  |      24     |   74.75    |      0      |
|  Gen 15 | 49.49 | -37.00 | 0.49 |  0.68  |      26     |   73.74    |      0      |
|  Gen 16 | 53.54 | -32.10 | 0.50 |  0.68  |      29     |   69.70    |      0      |
|  Gen 17 | 52.53 | -31.60 | 0.53 |  0.68  |      25     |   74.75    |      0      |
|  Gen 18 | 48.48 | -39.03 | 0.46 |  0.67  |      29     |   70.71    |      0      |
|  Gen 19 | 52.53 | -37.80 | 0.38 |  0.67  |      25     |   72.73    |      0      |
|  Gen 20 | 50.51 | -33.90 | 0.52 |  0.67  |      17     |   82.83    |      0      |
|  Gen 21 | 48.48 | -34.50 | 0.54 |  0.66  |      23     |   76.77    |      0      |
|  Gen 22 | 51.52 | -30.40 | 0.55 |  0.66  |      24     |   75.76    |      0      |
|  Gen 23 | 49.49 | -37.00 | 0.45 |  0.66  |      19     |   80.81    |      0      |
|  Gen 24 | 47.47 | -35.50 | 0.52 |  0.66  |      27     |   72.73    |      0      |
|  Gen 25 | 50.51 | -28.50 | 0.61 |  0.66  |      26     |   73.74    |      0      |
|  Gen 26 | 49.49 | -28.50 | 0.63 |  0.66  |      18     |   81.82    |      0      |
|  Gen 27 | 47.47 | -33.00 | 0.57 |  0.65  |      22     |   77.78    |      0      |
|  Gen 28 | 50.51 | -31.40 | 0.53 |  0.65  |      26     |   73.74    |      0      |
|  Gen 29 | 47.47 | -33.80 | 0.55 |  0.65  |      29     |   69.70    |      0      |
|  Gen 30 | 52.53 | -30.70 | 0.49 |  0.65  |      30     |   69.70    |      0      |
|  Gen 31 | 50.51 | -33.20 | 0.48 |  0.65  |      27     |   72.73    |      0      |
|  Gen 32 | 48.48 | -31.80 | 0.56 |  0.65  |      25     |   74.75    |      0      |
|  Gen 33 | 50.51 | -30.60 | 0.54 |  0.65  |      21     |   78.79    |      0      |
|  Gen 34 | 50.51 | -27.90 | 0.59 |  0.64  |      23     |   76.77    |      0      |
|  Gen 35 | 53.54 | -26.30 | 0.55 |  0.64  |      27     |   72.73    |      0      |
|  Gen 36 | 48.48 | -34.10 | 0.50 |  0.64  |      26     |   72.73    |      0      |
|  Gen 37 | 51.52 | -27.40 | 0.57 |  0.64  |      31     |   67.68    |      0      |
|  Gen 38 | 49.49 | -31.60 | 0.52 |  0.64  |      25     |   74.75    |      0      |
|  Gen 39 | 48.48 | -29.40 | 0.59 |  0.64  |      23     |   76.77    |      0      |
|  Gen 40 | 48.48 | -30.00 | 0.58 |  0.64  |      29     |   70.71    |      0      |
|  Gen 41 | 50.51 | -30.00 | 0.52 |  0.64  |      30     |   68.69    |      0      |
|  Gen 42 | 49.49 | -30.93 | 0.53 |  0.64  |      24     |   75.76    |      0      |
|  Gen 43 | 49.49 | -28.20 | 0.58 |  0.64  |      28     |   71.72    |      0      |
|  Gen 44 | 47.47 | -32.30 | 0.54 |  0.63  |      25     |   74.75    |      0      |
|  Gen 45 | 50.51 | -35.00 | 0.40 |  0.63  |      22     |   77.78    |      0      |
|  Gen 46 | 48.48 | -34.40 | 0.46 |  0.63  |      25     |   74.75    |      0      |
|  Gen 47 | 49.49 | -32.50 | 0.48 |  0.63  |      25     |   74.75    |      0      |
|  Gen 48 | 48.48 | -30.60 | 0.54 |  0.63  |      27     |   72.73    |      0      |
|  Gen 49 | 53.54 | -26.80 | 0.50 |  0.63  |      22     |   76.77    |      0      |
|  Gen 50 | 50.51 | -26.83 | 0.57 |  0.63  |      28     |   71.72    |      0      |
| Natural | 50.51 | -32.30 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
