Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 51.06 | -171.43 | 0.50 |  0.73  |     101     |   76.12    |      0      |
|  Gen 2  | 48.46 | -172.17 | 0.54 |  0.72  |     108     |   74.00    |      0      |
|  Gen 3  | 50.35 | -171.77 | 0.49 |  0.71  |     110     |   73.76    |      0      |
|  Gen 4  | 49.88 | -168.83 | 0.50 |  0.71  |     115     |   72.81    |      0      |
|  Gen 5  | 51.30 | -160.67 | 0.51 |  0.71  |     105     |   74.94    |      0      |
|  Gen 6  | 49.65 | -162.60 | 0.54 |  0.71  |      97     |   77.07    |      0      |
|  Gen 7  | 49.17 | -166.57 | 0.51 |  0.70  |     108     |   74.23    |      0      |
|  Gen 8  | 50.12 | -167.53 | 0.48 |  0.70  |      90     |   78.49    |      0      |
|  Gen 9  | 49.65 | -169.93 | 0.48 |  0.70  |     113     |   73.29    |      0      |
|  Gen 10 | 49.41 | -167.70 | 0.49 |  0.70  |     102     |   75.89    |      0      |
|  Gen 11 | 48.94 | -170.50 | 0.48 |  0.70  |     100     |   76.36    |      0      |
|  Gen 12 | 50.12 | -161.07 | 0.50 |  0.69  |     112     |   73.52    |      0      |
|  Gen 13 | 50.12 | -160.07 | 0.49 |  0.69  |     104     |   74.94    |      0      |
|  Gen 14 | 49.17 | -165.03 | 0.49 |  0.69  |      97     |   76.83    |      0      |
|  Gen 15 | 48.46 | -159.37 | 0.53 |  0.68  |      93     |   78.01    |      0      |
|  Gen 16 | 49.41 | -168.90 | 0.44 |  0.68  |     110     |   73.76    |      0      |
|  Gen 17 | 50.12 | -157.13 | 0.49 |  0.68  |     111     |   73.52    |      0      |
|  Gen 18 | 48.46 | -159.07 | 0.51 |  0.68  |     103     |   75.18    |      0      |
|  Gen 19 | 48.70 | -163.17 | 0.48 |  0.68  |      98     |   75.65    |      0      |
|  Gen 20 | 48.94 | -159.00 | 0.49 |  0.67  |     106     |   74.00    |      0      |
|  Gen 21 | 48.46 | -160.27 | 0.50 |  0.67  |     100     |   76.36    |      0      |
|  Gen 22 | 48.70 | -167.87 | 0.45 |  0.67  |     105     |   74.23    |      0      |
|  Gen 23 | 49.17 | -162.07 | 0.46 |  0.67  |     102     |   75.41    |      0      |
|  Gen 24 | 48.94 | -162.00 | 0.47 |  0.67  |     103     |   75.65    |      0      |
|  Gen 25 | 50.12 | -156.93 | 0.47 |  0.67  |     106     |   74.94    |      0      |
|  Gen 26 | 48.46 | -161.60 | 0.48 |  0.67  |     101     |   76.12    |      0      |
|  Gen 27 | 49.65 | -159.00 | 0.47 |  0.67  |     102     |   75.89    |      0      |
|  Gen 28 | 48.94 | -162.40 | 0.46 |  0.67  |      98     |   76.60    |      0      |
|  Gen 29 | 48.23 | -166.23 | 0.45 |  0.66  |      94     |   77.54    |      0      |
|  Gen 30 | 48.23 | -156.67 | 0.50 |  0.66  |      95     |   77.54    |      0      |
|  Gen 31 | 48.46 | -157.67 | 0.48 |  0.66  |     101     |   75.65    |      0      |
|  Gen 32 | 49.17 | -155.10 | 0.48 |  0.66  |     108     |   74.23    |      0      |
|  Gen 33 | 49.41 | -153.57 | 0.48 |  0.66  |      99     |   76.12    |      0      |
|  Gen 34 | 47.28 | -161.13 | 0.49 |  0.66  |     103     |   75.41    |      0      |
|  Gen 35 | 48.23 | -151.27 | 0.52 |  0.66  |      99     |   76.36    |      0      |
|  Gen 36 | 48.70 | -158.60 | 0.46 |  0.66  |     106     |   74.94    |      0      |
|  Gen 37 | 48.23 | -158.07 | 0.47 |  0.66  |      98     |   76.60    |      0      |
|  Gen 38 | 49.17 | -156.27 | 0.46 |  0.66  |      97     |   76.83    |      0      |
|  Gen 39 | 47.28 | -161.77 | 0.47 |  0.66  |      99     |   76.12    |      0      |
|  Gen 40 | 47.99 | -156.60 | 0.48 |  0.65  |     116     |   72.58    |      0      |
|  Gen 41 | 47.28 | -160.63 | 0.47 |  0.65  |     102     |   75.65    |      0      |
|  Gen 42 | 48.23 | -155.93 | 0.47 |  0.65  |      99     |   76.12    |      0      |
|  Gen 43 | 47.75 | -156.10 | 0.48 |  0.65  |     101     |   75.89    |      0      |
|  Gen 44 | 47.99 | -161.23 | 0.45 |  0.65  |     106     |   74.23    |      0      |
|  Gen 45 | 47.04 | -156.83 | 0.49 |  0.65  |     102     |   75.65    |      0      |
|  Gen 46 | 47.28 | -161.20 | 0.45 |  0.65  |      95     |   77.30    |      0      |
|  Gen 47 | 48.23 | -152.13 | 0.47 |  0.64  |     105     |   75.18    |      0      |
|  Gen 48 | 48.46 | -151.37 | 0.47 |  0.64  |     100     |   75.89    |      0      |
|  Gen 49 | 47.52 | -154.53 | 0.47 |  0.64  |     102     |   75.18    |      0      |
|  Gen 50 | 47.99 | -156.77 | 0.45 |  0.64  |     101     |   75.41    |      0      |
| Natural | 44.68 | -152.30 | 0.47 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
