Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 54.22 | -82.30 | 0.55 |  0.74  |      51     |   77.33    |      0      |
|  Gen 2  | 53.33 | -78.67 | 0.53 |  0.71  |      53     |   76.44    |      0      |
|  Gen 3  | 51.11 | -79.33 | 0.57 |  0.71  |      54     |   76.00    |      0      |
|  Gen 4  | 51.56 | -77.33 | 0.57 |  0.70  |      47     |   79.11    |      0      |
|  Gen 5  | 51.56 | -74.73 | 0.58 |  0.70  |      52     |   76.89    |      0      |
|  Gen 6  | 52.89 | -73.80 | 0.55 |  0.69  |      51     |   77.33    |      0      |
|  Gen 7  | 50.22 | -76.10 | 0.58 |  0.69  |      46     |   79.56    |      0      |
|  Gen 8  | 51.56 | -74.87 | 0.55 |  0.69  |      52     |   76.89    |      0      |
|  Gen 9  | 50.67 | -79.50 | 0.52 |  0.68  |      54     |   75.56    |      0      |
|  Gen 10 | 52.00 | -73.40 | 0.55 |  0.68  |      47     |   79.11    |      0      |
|  Gen 11 | 50.67 | -74.43 | 0.57 |  0.68  |      51     |   76.89    |      0      |
|  Gen 12 | 51.56 | -74.10 | 0.54 |  0.68  |      47     |   79.11    |      0      |
|  Gen 13 | 51.11 | -71.30 | 0.57 |  0.67  |      56     |   74.67    |      0      |
|  Gen 14 | 50.67 | -78.10 | 0.51 |  0.67  |      51     |   77.33    |      0      |
|  Gen 15 | 51.11 | -74.40 | 0.52 |  0.67  |      52     |   76.89    |      0      |
|  Gen 16 | 50.67 | -77.13 | 0.50 |  0.67  |      56     |   75.11    |      0      |
|  Gen 17 | 49.78 | -76.90 | 0.52 |  0.66  |      53     |   76.44    |      0      |
|  Gen 18 | 52.00 | -69.83 | 0.53 |  0.66  |      49     |   77.78    |      0      |
|  Gen 19 | 51.11 | -73.00 | 0.52 |  0.66  |      52     |   76.89    |      0      |
|  Gen 20 | 50.67 | -72.80 | 0.54 |  0.66  |      48     |   78.22    |      0      |
|  Gen 21 | 49.78 | -77.50 | 0.50 |  0.66  |      50     |   77.78    |      0      |
|  Gen 22 | 51.11 | -77.13 | 0.47 |  0.66  |      54     |   76.00    |      0      |
|  Gen 23 | 51.11 | -74.10 | 0.50 |  0.66  |      58     |   74.22    |      0      |
|  Gen 24 | 51.56 | -67.40 | 0.55 |  0.66  |      55     |   75.56    |      0      |
|  Gen 25 | 50.67 | -72.70 | 0.52 |  0.65  |      57     |   74.67    |      0      |
|  Gen 26 | 50.67 | -72.77 | 0.51 |  0.65  |      57     |   74.67    |      0      |
|  Gen 27 | 49.78 | -75.37 | 0.51 |  0.65  |      52     |   76.44    |      0      |
|  Gen 28 | 51.11 | -66.83 | 0.55 |  0.65  |      53     |   76.44    |      0      |
|  Gen 29 | 50.22 | -72.57 | 0.52 |  0.65  |      53     |   76.44    |      0      |
|  Gen 30 | 49.78 | -71.37 | 0.53 |  0.65  |      52     |   76.89    |      0      |
|  Gen 31 | 50.22 | -65.50 | 0.58 |  0.65  |      46     |   79.56    |      0      |
|  Gen 32 | 51.56 | -64.60 | 0.55 |  0.65  |      50     |   77.78    |      0      |
|  Gen 33 | 51.11 | -71.00 | 0.50 |  0.64  |      53     |   76.00    |      0      |
|  Gen 34 | 50.67 | -67.63 | 0.54 |  0.64  |      49     |   78.22    |      0      |
|  Gen 35 | 50.22 | -66.73 | 0.56 |  0.64  |      47     |   79.11    |      0      |
|  Gen 36 | 48.89 | -72.03 | 0.54 |  0.64  |      54     |   76.00    |      0      |
|  Gen 37 | 51.11 | -66.57 | 0.53 |  0.64  |      50     |   77.78    |      0      |
|  Gen 38 | 49.33 | -73.40 | 0.51 |  0.64  |      49     |   78.22    |      0      |
|  Gen 39 | 49.33 | -69.90 | 0.54 |  0.64  |      55     |   75.56    |      0      |
|  Gen 40 | 50.67 | -66.20 | 0.54 |  0.64  |      48     |   78.67    |      0      |
|  Gen 41 | 51.11 | -70.30 | 0.49 |  0.64  |      49     |   78.22    |      0      |
|  Gen 42 | 50.67 | -71.70 | 0.48 |  0.64  |      55     |   75.11    |      0      |
|  Gen 43 | 50.67 | -69.73 | 0.50 |  0.64  |      47     |   79.11    |      0      |
|  Gen 44 | 50.22 | -67.40 | 0.53 |  0.63  |      50     |   77.78    |      0      |
|  Gen 45 | 50.22 | -71.17 | 0.49 |  0.63  |      52     |   76.89    |      0      |
|  Gen 46 | 48.44 | -70.93 | 0.53 |  0.63  |      55     |   75.56    |      0      |
|  Gen 47 | 49.78 | -65.80 | 0.55 |  0.63  |      54     |   76.00    |      0      |
|  Gen 48 | 49.78 | -70.50 | 0.50 |  0.63  |      49     |   78.22    |      0      |
|  Gen 49 | 50.22 | -70.97 | 0.48 |  0.63  |      55     |   75.56    |      0      |
|  Gen 50 | 48.89 | -76.13 | 0.46 |  0.63  |      54     |   75.56    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
