+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.12 | -164.80 | 0.54 |     101     |   76.12    |
|  Gen 2   | 50.12 | -164.43 | 0.53 |     103     |   75.65    |
|  Gen 3   | 50.83 | -163.90 | 0.53 |     104     |   74.94    |
|  Gen 4   | 49.41 | -173.87 | 0.51 |     106     |   74.94    |
|  Gen 5   | 48.23 | -167.90 | 0.52 |      93     |   78.01    |
|  Gen 6   | 49.17 | -165.00 | 0.53 |      99     |   76.60    |
|  Gen 7   | 49.41 | -162.40 | 0.52 |     112     |   73.29    |
|  Gen 8   | 49.41 | -154.17 | 0.54 |      96     |   77.07    |
|  Gen 9   | 49.17 | -162.47 | 0.52 |     104     |   75.41    |
|  Gen 10  | 49.41 | -160.60 | 0.52 |     100     |   76.36    |
|  Gen 11  | 48.46 | -167.23 | 0.51 |     105     |   75.18    |
|  Gen 12  | 51.06 | -164.90 | 0.51 |     110     |   74.00    |
|  Gen 13  | 47.75 | -165.33 | 0.51 |      96     |   77.07    |
|  Gen 14  | 48.94 | -163.80 | 0.51 |     101     |   75.65    |
|  Gen 15  | 49.88 | -161.83 | 0.51 |      91     |   78.25    |
|  Gen 16  | 48.46 | -162.70 | 0.50 |     104     |   75.18    |
|  Gen 17  | 49.65 | -161.60 | 0.50 |      98     |   76.60    |
|  Gen 18  | 46.81 | -159.87 | 0.50 |      89     |   78.96    |
|  Gen 19  | 49.65 | -169.73 | 0.49 |     106     |   74.94    |
|  Gen 20  | 49.65 | -161.77 | 0.50 |     100     |   76.36    |
|  Gen 21  | 50.35 | -157.57 | 0.50 |     101     |   75.89    |
|  Gen 22  | 48.70 | -154.80 | 0.51 |     100     |   76.36    |
|  Gen 23  | 47.99 | -166.67 | 0.49 |     107     |   74.70    |
|  Gen 24  | 48.94 | -161.30 | 0.50 |      97     |   77.07    |
|  Gen 25  | 49.17 | -153.73 | 0.51 |      99     |   76.60    |
|  Gen 26  | 48.46 | -163.17 | 0.49 |     100     |   76.36    |
|  Gen 27  | 50.83 | -161.10 | 0.49 |     111     |   73.76    |
|  Gen 28  | 49.88 | -163.80 | 0.49 |     112     |   73.52    |
|  Gen 29  | 48.94 | -162.23 | 0.49 |     100     |   76.12    |
|  Gen 30  | 48.94 | -156.60 | 0.50 |      95     |   77.30    |
|  Gen 31  | 47.52 | -161.27 | 0.49 |     106     |   74.94    |
|  Gen 32  | 47.52 | -156.70 | 0.50 |     109     |   74.00    |
|  Gen 33  | 50.35 | -158.10 | 0.50 |     103     |   75.65    |
|  Gen 34  | 46.81 | -166.57 | 0.48 |      98     |   76.83    |
|  Gen 35  | 47.75 | -161.20 | 0.49 |      95     |   77.30    |
|  Gen 36  | 48.23 | -155.37 | 0.50 |     107     |   74.70    |
|  Gen 37  | 48.23 | -154.27 | 0.50 |      98     |   76.60    |
|  Gen 38  | 50.12 | -156.60 | 0.49 |     107     |   74.70    |
|  Gen 39  | 49.65 | -163.27 | 0.48 |     100     |   75.89    |
|  Gen 40  | 48.23 | -157.80 | 0.49 |     109     |   74.00    |
|  Gen 41  | 47.52 | -153.30 | 0.50 |      98     |   76.83    |
|  Gen 42  | 48.23 | -165.90 | 0.48 |     101     |   75.89    |
|  Gen 43  | 48.70 | -164.40 | 0.48 |     101     |   75.89    |
|  Gen 44  | 48.46 | -155.80 | 0.49 |     102     |   75.89    |
|  Gen 45  | 49.41 | -159.80 | 0.48 |     104     |   75.41    |
|  Gen 46  | 48.23 | -157.47 | 0.48 |     100     |   76.36    |
|  Gen 47  | 48.70 | -167.07 | 0.47 |     103     |   75.65    |
|  Gen 48  | 48.23 | -157.00 | 0.48 |      94     |   77.78    |
|  Gen 49  | 47.04 | -165.00 | 0.47 |      93     |   77.54    |
|  Gen 50  | 48.23 | -155.10 | 0.49 |     104     |   75.41    |
| Best GC  | 51.06 | -164.90 | 0.51 |     110     |   74.00    |
| Best MFE | 49.41 | -173.87 | 0.51 |     106     |   74.94    |
| Best CAI | 50.12 | -164.80 | 0.54 |     101     |   76.12    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
