+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 53.33 | -77.47 | 0.61 |      47     |   79.11    |
|  Gen 2   | 49.78 | -74.60 | 0.59 |      52     |   76.89    |
|  Gen 3   | 53.33 | -74.57 | 0.59 |      44     |   80.44    |
|  Gen 4   | 49.78 | -76.13 | 0.58 |      54     |   76.00    |
|  Gen 5   | 47.56 | -73.30 | 0.58 |      55     |   75.56    |
|  Gen 6   | 50.22 | -76.40 | 0.57 |      50     |   77.33    |
|  Gen 7   | 50.67 | -70.83 | 0.58 |      52     |   76.89    |
|  Gen 8   | 50.67 | -76.50 | 0.56 |      53     |   76.44    |
|  Gen 9   | 50.67 | -73.87 | 0.56 |      50     |   77.78    |
|  Gen 10  | 50.22 | -77.00 | 0.56 |      48     |   78.22    |
|  Gen 11  | 49.78 | -75.50 | 0.55 |      52     |   76.89    |
|  Gen 12  | 49.33 | -75.70 | 0.54 |      47     |   79.11    |
|  Gen 13  | 52.00 | -81.03 | 0.54 |      55     |   75.56    |
|  Gen 14  | 48.44 | -73.30 | 0.55 |      48     |   78.67    |
|  Gen 15  | 50.22 | -77.20 | 0.54 |      52     |   76.89    |
|  Gen 16  | 47.56 | -72.07 | 0.54 |      49     |   78.22    |
|  Gen 17  | 48.00 | -65.10 | 0.55 |      61     |   72.44    |
|  Gen 18  | 51.11 | -71.50 | 0.54 |      51     |   76.89    |
|  Gen 19  | 51.56 | -74.07 | 0.54 |      51     |   77.33    |
|  Gen 20  | 50.67 | -79.27 | 0.53 |      53     |   76.44    |
|  Gen 21  | 48.00 | -69.73 | 0.54 |      42     |   81.33    |
|  Gen 22  | 48.44 | -76.53 | 0.53 |      46     |   78.67    |
|  Gen 23  | 51.11 | -79.60 | 0.52 |      49     |   77.78    |
|  Gen 24  | 48.44 | -79.60 | 0.52 |      44     |   79.56    |
|  Gen 25  | 48.89 | -73.00 | 0.53 |      52     |   76.89    |
|  Gen 26  | 49.33 | -68.90 | 0.53 |      58     |   74.22    |
|  Gen 27  | 49.33 | -68.40 | 0.53 |      52     |   76.44    |
|  Gen 28  | 50.22 | -80.47 | 0.51 |      59     |   73.78    |
|  Gen 29  | 47.56 | -75.23 | 0.52 |      48     |   78.67    |
|  Gen 30  | 47.56 | -78.73 | 0.51 |      58     |   74.22    |
|  Gen 31  | 48.44 | -76.80 | 0.52 |      52     |   76.00    |
|  Gen 32  | 48.89 | -68.90 | 0.53 |      53     |   76.44    |
|  Gen 33  | 48.89 | -74.93 | 0.52 |      57     |   73.78    |
|  Gen 34  | 48.44 | -72.50 | 0.52 |      52     |   76.89    |
|  Gen 35  | 47.11 | -78.57 | 0.51 |      48     |   78.67    |
|  Gen 36  | 48.44 | -69.40 | 0.52 |      52     |   76.89    |
|  Gen 37  | 48.89 | -67.10 | 0.53 |      55     |   75.11    |
|  Gen 38  | 46.22 | -73.50 | 0.51 |      56     |   74.67    |
|  Gen 39  | 51.56 | -73.90 | 0.51 |      47     |   78.67    |
|  Gen 40  | 50.67 | -76.67 | 0.50 |      51     |   77.33    |
|  Gen 41  | 48.00 | -65.53 | 0.52 |      60     |   72.89    |
|  Gen 42  | 49.33 | -74.50 | 0.50 |      53     |   76.44    |
|  Gen 43  | 50.22 | -70.20 | 0.51 |      48     |   78.67    |
|  Gen 44  | 46.67 | -73.97 | 0.50 |      54     |   75.11    |
|  Gen 45  | 46.67 | -70.40 | 0.51 |      50     |   77.78    |
|  Gen 46  | 44.89 | -68.97 | 0.51 |      50     |   77.33    |
|  Gen 47  | 46.22 | -76.40 | 0.50 |      57     |   73.78    |
|  Gen 48  | 48.00 | -68.73 | 0.51 |      57     |   74.22    |
|  Gen 49  | 49.78 | -74.40 | 0.50 |      43     |   80.89    |
|  Gen 50  | 52.00 | -66.80 | 0.51 |      50     |   77.33    |
| Best GC  | 53.33 | -74.57 | 0.59 |      44     |   80.44    |
| Best MFE | 52.00 | -81.03 | 0.54 |      55     |   75.56    |
| Best CAI | 53.33 | -77.47 | 0.61 |      47     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
