+---------+-------+------+------+-------------+------------+
|   Seq   |  GC % | MFE  | CAI  | Levenshtein | Identity % |
+---------+-------+------+------+-------------+------------+
|  Gen 1  | 53.33 | 0.00 | 1.00 |      5      |   75.00    |
|  Gen 2  | 53.33 | 0.00 | 0.85 |      4      |   91.67    |
|  Gen 3  | 46.67 | 0.00 | 0.85 |      5      |   66.67    |
|  Gen 4  | 46.67 | 0.00 | 0.84 |      5      |   83.33    |
|  Gen 5  | 46.67 | 0.00 | 0.76 |      6      |   66.67    |
|  Gen 6  | 46.67 | 0.00 | 0.73 |      5      |   83.33    |
|  Gen 7  | 40.00 | 0.00 | 0.72 |      5      |   75.00    |
|  Gen 8  | 46.67 | 0.00 | 0.72 |      4      |   75.00    |
|  Gen 9  | 46.67 | 0.00 | 0.65 |      4      |   83.33    |
|  Gen 10 | 40.00 | 0.00 | 0.65 |      6      |   58.33    |
|  Gen 11 | 40.00 | 0.00 | 0.64 |      5      |   75.00    |
|  Gen 12 | 46.67 | 0.00 | 0.63 |      3      |   100.00   |
|  Gen 13 | 40.00 | 0.00 | 0.61 |      4      |   66.67    |
|  Gen 14 | 40.00 | 0.00 | 0.55 |      5      |   75.00    |
|  Gen 15 | 33.33 | 0.00 | 0.55 |      6      |   66.67    |
|  Gen 16 | 40.00 | 0.00 | 0.55 |      5      |   66.67    |
|  Gen 17 | 40.00 | 0.00 | 0.53 |      4      |   91.67    |
|  Gen 18 | 53.33 | 0.00 | 0.50 |      5      |   75.00    |
|  Gen 19 | 40.00 | 0.00 | 0.48 |      3      |   91.67    |
|  Gen 20 | 33.33 | 0.00 | 0.47 |      5      |   58.33    |
|  Gen 21 | 46.67 | 0.00 | 0.42 |      5      |   66.67    |
|  Gen 22 | 33.33 | 0.00 | 0.41 |      4      |   83.33    |
|  Gen 23 | 46.67 | 0.00 | 0.38 |      6      |   66.67    |
|  Gen 24 | 40.00 | 0.00 | 0.32 |      6      |   58.33    |
|  Gen 25 | 53.33 | 0.00 | 1.00 |      5      |   75.00    |
|  Gen 26 | 53.33 | 0.00 | 1.00 |      5      |   75.00    |
|  Gen 27 | 53.33 | 0.00 | 1.00 |      5      |   75.00    |
| Natural | 50.00 | 0.00 | 0.63 |      0      |   100.00   |
+---------+-------+------+------+-------------+------------+
