+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 51.77 | -171.67 | 0.57 |     103     |   75.65    |
|  Gen 2   | 51.54 | -171.27 | 0.51 |     103     |   75.65    |
|  Gen 3   | 48.70 | -160.10 | 0.52 |      97     |   76.36    |
|  Gen 4   | 48.94 | -150.80 | 0.53 |     109     |   74.23    |
|  Gen 5   | 47.99 | -158.93 | 0.51 |     102     |   75.65    |
|  Gen 6   | 48.94 | -159.90 | 0.51 |     101     |   76.12    |
|  Gen 7   | 52.01 | -166.07 | 0.50 |     100     |   76.12    |
|  Gen 8   | 47.75 | -158.60 | 0.51 |     107     |   74.47    |
|  Gen 9   | 47.99 | -159.57 | 0.51 |     108     |   74.47    |
|  Gen 10  | 48.94 | -165.53 | 0.50 |     104     |   75.18    |
|  Gen 11  | 49.41 | -158.00 | 0.50 |     106     |   74.94    |
|  Gen 12  | 49.65 | -162.77 | 0.50 |      96     |   77.07    |
|  Gen 13  | 48.23 | -162.53 | 0.49 |      88     |   79.20    |
|  Gen 14  | 48.94 | -157.67 | 0.50 |     107     |   74.70    |
|  Gen 15  | 47.28 | -162.17 | 0.49 |     104     |   75.41    |
|  Gen 16  | 48.70 | -152.33 | 0.51 |     111     |   73.76    |
|  Gen 17  | 47.75 | -157.60 | 0.49 |     108     |   74.23    |
|  Gen 18  | 47.52 | -153.50 | 0.50 |     102     |   75.41    |
|  Gen 19  | 49.65 | -162.80 | 0.48 |      99     |   76.60    |
|  Gen 20  | 47.04 | -149.80 | 0.50 |     104     |   75.18    |
|  Gen 21  | 50.59 | -164.30 | 0.48 |     106     |   74.94    |
|  Gen 22  | 48.70 | -154.60 | 0.49 |     110     |   73.76    |
|  Gen 23  | 48.46 | -161.63 | 0.48 |     105     |   75.18    |
|  Gen 24  | 48.23 | -161.70 | 0.48 |      90     |   78.25    |
|  Gen 25  | 46.57 | -161.63 | 0.48 |     101     |   75.89    |
|  Gen 26  | 48.94 | -158.50 | 0.48 |     103     |   75.41    |
|  Gen 27  | 46.57 | -156.13 | 0.48 |      96     |   77.30    |
|  Gen 28  | 48.94 | -160.27 | 0.48 |      92     |   78.01    |
|  Gen 29  | 46.81 | -161.00 | 0.48 |      98     |   76.60    |
|  Gen 30  | 48.70 | -155.20 | 0.48 |     107     |   74.70    |
|  Gen 31  | 50.35 | -153.50 | 0.49 |     104     |   75.41    |
|  Gen 32  | 48.46 | -162.80 | 0.47 |     106     |   74.94    |
|  Gen 33  | 48.70 | -149.40 | 0.49 |      91     |   78.25    |
|  Gen 34  | 46.81 | -162.60 | 0.47 |     104     |   74.94    |
|  Gen 35  | 48.70 | -170.30 | 0.45 |     108     |   74.23    |
|  Gen 36  | 49.65 | -156.93 | 0.47 |     103     |   75.65    |
|  Gen 37  | 48.23 | -151.83 | 0.48 |     121     |   71.16    |
|  Gen 38  | 48.46 | -162.00 | 0.47 |      94     |   77.54    |
|  Gen 39  | 47.75 | -151.23 | 0.48 |     108     |   74.47    |
|  Gen 40  | 47.75 | -155.13 | 0.48 |     105     |   75.18    |
|  Gen 41  | 47.04 | -149.80 | 0.48 |      97     |   76.83    |
|  Gen 42  | 46.81 | -158.33 | 0.47 |      93     |   78.01    |
|  Gen 43  | 48.46 | -157.10 | 0.47 |     100     |   76.12    |
|  Gen 44  | 49.17 | -159.17 | 0.46 |     106     |   74.70    |
|  Gen 45  | 49.17 | -159.87 | 0.46 |      93     |   78.01    |
|  Gen 46  | 47.99 | -162.40 | 0.46 |      95     |   77.30    |
|  Gen 47  | 49.65 | -155.97 | 0.47 |     104     |   74.70    |
|  Gen 48  | 48.23 | -163.17 | 0.46 |     100     |   76.36    |
|  Gen 49  | 47.28 | -151.37 | 0.47 |     105     |   75.18    |
|  Gen 50  | 48.46 | -153.17 | 0.47 |     101     |   75.89    |
| Best GC  | 52.01 | -166.07 | 0.50 |     100     |   76.12    |
| Best MFE | 51.77 | -171.67 | 0.57 |     103     |   75.65    |
| Best CAI | 51.77 | -171.67 | 0.57 |     103     |   75.65    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
