+----------+-------+-------+------+-------------+------------+
|   Seq    |  GC % |  MFE  | CAI  | Levenshtein | Identity % |
+----------+-------+-------+------+-------------+------------+
|  Gen 1   | 60.00 | -1.80 | 0.90 |      4      |   73.33    |
|  Gen 2   | 60.00 | -0.60 | 0.80 |      2      |   86.67    |
|  Gen 3   | 53.33 |  0.00 | 0.80 |      5      |   66.67    |
|  Gen 4   | 53.33 | -1.80 | 0.79 |      3      |   80.00    |
|  Gen 5   | 53.33 |  0.00 | 0.79 |      3      |   80.00    |
|  Gen 6   | 46.67 |  0.00 | 0.78 |      4      |   73.33    |
|  Gen 7   | 53.33 |  0.00 | 0.78 |      4      |   73.33    |
|  Gen 8   | 53.33 |  0.00 | 0.72 |      3      |   80.00    |
|  Gen 9   | 46.67 |  0.00 | 0.72 |      6      |   60.00    |
|  Gen 10  | 53.33 |  0.00 | 0.70 |      1      |   93.33    |
|  Gen 11  | 46.67 |  0.00 | 0.69 |      5      |   66.67    |
|  Gen 12  | 53.33 |  0.00 | 0.66 |      4      |   73.33    |
|  Gen 13  | 46.67 |  0.00 | 0.65 |      6      |   60.00    |
|  Gen 14  | 46.67 | -1.80 | 0.64 |      4      |   73.33    |
|  Gen 15  | 46.67 |  0.00 | 0.64 |      4      |   73.33    |
|  Gen 16  | 46.67 |  0.00 | 0.63 |      5      |   66.67    |
|  Gen 17  | 53.33 | -0.60 | 0.63 |      1      |   93.33    |
|  Gen 18  | 46.67 |  0.00 | 0.62 |      2      |   86.67    |
|  Gen 19  | 53.33 |  0.00 | 0.62 |      1      |   93.33    |
|  Gen 20  | 46.67 | -0.70 | 0.61 |      2      |   86.67    |
|  Gen 21  | 60.00 |  0.00 | 0.59 |      4      |   73.33    |
|  Gen 22  | 53.33 |  0.00 | 0.58 |      2      |   86.67    |
|  Gen 23  | 46.67 |  0.00 | 0.58 |      4      |   73.33    |
|  Gen 24  | 46.67 |  0.00 | 0.58 |      3      |   80.00    |
|  Gen 25  | 46.67 |  0.00 | 0.57 |      2      |   86.67    |
|  Gen 26  | 46.67 | -1.80 | 0.57 |      5      |   66.67    |
|  Gen 27  | 40.00 |  0.00 | 0.57 |      5      |   66.67    |
|  Gen 28  | 40.00 |  0.00 | 0.56 |      6      |   60.00    |
|  Gen 29  | 46.67 |  0.00 | 0.56 |      2      |   86.67    |
|  Gen 30  | 46.67 |  0.00 | 0.55 |      2      |   86.67    |
|  Gen 31  | 40.00 |  0.00 | 0.54 |      3      |   80.00    |
|  Gen 32  | 46.67 |  0.00 | 0.54 |      5      |   66.67    |
|  Gen 33  | 60.00 | -1.80 | 0.53 |      4      |   73.33    |
|  Gen 34  | 46.67 |  0.00 | 0.52 |      3      |   80.00    |
|  Gen 35  | 46.67 | -0.70 | 0.51 |      2      |   86.67    |
|  Gen 36  | 46.67 |  0.00 | 0.51 |      4      |   73.33    |
|  Gen 37  | 40.00 |  0.00 | 0.51 |      4      |   73.33    |
|  Gen 38  | 40.00 |  0.00 | 0.51 |      3      |   80.00    |
|  Gen 39  | 40.00 |  0.00 | 0.51 |      6      |   60.00    |
|  Gen 40  | 53.33 |  0.00 | 0.48 |      5      |   66.67    |
|  Gen 41  | 46.67 |  0.00 | 0.48 |      3      |   80.00    |
|  Gen 42  | 53.33 |  0.00 | 0.47 |      5      |   66.67    |
|  Gen 43  | 40.00 |  0.00 | 0.47 |      4      |   73.33    |
|  Gen 44  | 40.00 |  0.00 | 0.46 |      3      |   80.00    |
|  Gen 45  | 40.00 |  0.00 | 0.45 |      5      |   66.67    |
|  Gen 46  | 40.00 | -0.70 | 0.44 |      4      |   73.33    |
|  Gen 47  | 53.33 | -1.80 | 0.43 |      5      |   66.67    |
|  Gen 48  | 46.67 |  0.00 | 0.43 |      6      |   60.00    |
|  Gen 49  | 33.33 |  0.00 | 0.42 |      5      |   66.67    |
|  Gen 50  | 40.00 |  0.00 | 0.42 |      5      |   66.67    |
| Best GC  | 60.00 | -1.80 | 0.90 |      4      |   73.33    |
| Best MFE | 53.33 | -1.80 | 0.79 |      3      |   80.00    |
| Best CAI | 60.00 | -1.80 | 0.90 |      4      |   73.33    |
| Natural  | 46.67 |  0.00 | 0.49 |      0      |   100.00   |
+----------+-------+-------+------+-------------+------------+
