Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 49.49 | -41.40 | 0.49 |  0.72  |      18     |   81.82    |      0      |
|  Gen 2  | 50.51 | -37.50 | 0.53 |  0.71  |      31     |   68.69    |      0      |
|  Gen 3  | 53.54 | -34.20 | 0.52 |  0.71  |      24     |   75.76    |      0      |
|  Gen 4  | 51.52 | -38.00 | 0.48 |  0.70  |      25     |   74.75    |      0      |
|  Gen 5  | 49.49 | -34.20 | 0.58 |  0.69  |      21     |   78.79    |      0      |
|  Gen 6  | 51.52 | -29.30 | 0.64 |  0.69  |      29     |   70.71    |      0      |
|  Gen 7  | 52.53 | -35.83 | 0.44 |  0.68  |      27     |   72.73    |      0      |
|  Gen 8  | 53.54 | -34.20 | 0.45 |  0.68  |      29     |   69.70    |      0      |
|  Gen 9  | 47.47 | -35.30 | 0.56 |  0.67  |      25     |   74.75    |      0      |
|  Gen 10 | 49.49 | -30.30 | 0.62 |  0.67  |      21     |   78.79    |      0      |
|  Gen 11 | 52.53 | -25.50 | 0.62 |  0.65  |      25     |   74.75    |      0      |
|  Gen 12 | 51.52 | -27.80 | 0.58 |  0.65  |      22     |   77.78    |      0      |
|  Gen 13 | 50.51 | -27.50 | 0.60 |  0.64  |      29     |   70.71    |      0      |
|  Gen 14 | 51.52 | -29.50 | 0.53 |  0.64  |      24     |   75.76    |      0      |
|  Gen 15 | 52.53 | -28.90 | 0.50 |  0.64  |      25     |   74.75    |      0      |
|  Gen 16 | 50.51 | -32.50 | 0.46 |  0.63  |      21     |   78.79    |      0      |
|  Gen 17 | 50.51 | -28.10 | 0.55 |  0.63  |      29     |   70.71    |      0      |
|  Gen 18 | 49.49 | -29.40 | 0.55 |  0.63  |      19     |   80.81    |      0      |
|  Gen 19 | 49.49 | -30.50 | 0.52 |  0.63  |      27     |   71.72    |      0      |
|  Gen 20 | 47.47 | -30.30 | 0.57 |  0.63  |      28     |   70.71    |      0      |
|  Gen 21 | 48.48 | -30.67 | 0.53 |  0.63  |      31     |   68.69    |      0      |
|  Gen 22 | 50.51 | -28.80 | 0.52 |  0.62  |      27     |   72.73    |      0      |
|  Gen 23 | 48.48 | -32.90 | 0.47 |  0.62  |      26     |   72.73    |      0      |
|  Gen 24 | 51.52 | -31.10 | 0.44 |  0.62  |      26     |   73.74    |      0      |
|  Gen 25 | 49.49 | -32.70 | 0.45 |  0.62  |      29     |   69.70    |      0      |
|  Gen 26 | 49.49 | -29.90 | 0.50 |  0.62  |      27     |   72.73    |      0      |
|  Gen 27 | 50.51 | -27.27 | 0.53 |  0.62  |      30     |   68.69    |      0      |
|  Gen 28 | 49.49 | -30.50 | 0.48 |  0.62  |      22     |   77.78    |      0      |
|  Gen 29 | 48.48 | -24.40 | 0.64 |  0.61  |      26     |   73.74    |      0      |
|  Gen 30 | 47.47 | -31.50 | 0.49 |  0.61  |      26     |   73.74    |      0      |
|  Gen 31 | 51.52 | -31.70 | 0.38 |  0.61  |      31     |   68.69    |      0      |
|  Gen 32 | 46.46 | -30.80 | 0.52 |  0.60  |      23     |   76.77    |      0      |
|  Gen 33 | 49.49 | -25.90 | 0.56 |  0.60  |      24     |   74.75    |      0      |
|  Gen 34 | 53.54 | -24.77 | 0.46 |  0.60  |      25     |   72.73    |      0      |
|  Gen 35 | 46.46 | -30.90 | 0.49 |  0.59  |      28     |   71.72    |      0      |
|  Gen 36 | 48.48 | -31.30 | 0.43 |  0.59  |      23     |   76.77    |      0      |
|  Gen 37 | 46.46 | -33.30 | 0.43 |  0.59  |      20     |   79.80    |      0      |
|  Gen 38 | 49.49 | -23.50 | 0.58 |  0.59  |      26     |   73.74    |      0      |
|  Gen 39 | 47.47 | -28.40 | 0.51 |  0.59  |      24     |   73.74    |      0      |
|  Gen 40 | 47.47 | -29.40 | 0.49 |  0.59  |      29     |   70.71    |      0      |
|  Gen 41 | 49.49 | -29.30 | 0.44 |  0.59  |      31     |   68.69    |      0      |
|  Gen 42 | 50.51 | -23.40 | 0.55 |  0.59  |      26     |   73.74    |      0      |
|  Gen 43 | 50.51 | -21.00 | 0.60 |  0.58  |      27     |   72.73    |      0      |
|  Gen 44 | 50.51 | -27.60 | 0.45 |  0.58  |      27     |   71.72    |      0      |
|  Gen 45 | 47.47 | -28.10 | 0.50 |  0.58  |      30     |   67.68    |      0      |
|  Gen 46 | 52.53 | -25.90 | 0.42 |  0.58  |      27     |   71.72    |      0      |
|  Gen 47 | 46.46 | -29.50 | 0.49 |  0.58  |      27     |   72.73    |      0      |
|  Gen 48 | 45.45 | -27.90 | 0.54 |  0.58  |      25     |   74.75    |      0      |
|  Gen 49 | 48.48 | -26.50 | 0.49 |  0.57  |      25     |   74.75    |      0      |
|  Gen 50 | 48.48 | -28.97 | 0.43 |  0.57  |      20     |   79.80    |      0      |
| Natural | 50.51 | -32.30 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
