Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 50.67 | -69.10 | 0.55 |  1.62  |      50     |   78.22    |      -1     |
|  Gen 2  | 46.22 | -62.20 | 0.50 |  1.62  |      53     |   76.44    |      -1     |
|  Gen 3  | 47.56 | -65.40 | 0.52 |  1.61  |      47     |   79.56    |      -1     |
|  Gen 4  | 51.11 | -70.80 | 0.56 |  1.61  |      48     |   79.11    |      -1     |
|  Gen 5  | 52.00 | -68.20 | 0.53 |  1.60  |      49     |   78.22    |      -1     |
|  Gen 6  | 48.00 | -70.67 | 0.55 |  1.60  |      57     |   75.11    |      -1     |
|  Gen 7  | 49.78 | -68.70 | 0.54 |  1.60  |      53     |   76.89    |      -1     |
|  Gen 8  | 50.67 | -69.00 | 0.54 |  1.59  |      53     |   76.89    |      -1     |
|  Gen 9  | 48.00 | -66.80 | 0.52 |  1.59  |      55     |   75.56    |      -1     |
|  Gen 10 | 48.00 | -69.83 | 0.54 |  1.59  |      48     |   78.67    |      -1     |
|  Gen 11 | 51.56 | -73.80 | 0.57 |  1.58  |      52     |   77.33    |      -1     |
|  Gen 12 | 47.56 | -64.17 | 0.49 |  1.58  |      48     |   79.11    |      -1     |
|  Gen 13 | 51.56 | -75.10 | 0.58 |  1.58  |      59     |   74.22    |      -1     |
|  Gen 14 | 48.89 | -71.70 | 0.55 |  1.58  |      58     |   73.78    |      -1     |
|  Gen 15 | 48.89 | -68.30 | 0.52 |  1.57  |      54     |   76.44    |      -1     |
|  Gen 16 | 54.22 | -77.03 | 0.59 |  1.57  |      58     |   74.22    |      -1     |
|  Gen 17 | 46.22 | -69.67 | 0.53 |  1.56  |      53     |   76.44    |      -1     |
|  Gen 18 | 50.22 | -74.90 | 0.56 |  1.56  |      58     |   74.22    |      -1     |
|  Gen 19 | 48.44 | -66.80 | 0.50 |  1.56  |      54     |   76.00    |      -1     |
|  Gen 20 | 47.11 | -67.87 | 0.51 |  1.56  |      51     |   77.78    |      -1     |
|  Gen 21 | 49.33 | -62.90 | 0.47 |  1.55  |      52     |   77.33    |      -1     |
|  Gen 22 | 46.22 | -65.57 | 0.49 |  1.55  |      44     |   80.89    |      -1     |
|  Gen 23 | 50.22 | -70.10 | 0.52 |  1.55  |      59     |   73.78    |      -1     |
|  Gen 24 | 48.89 | -70.40 | 0.52 |  1.55  |      47     |   78.67    |      -1     |
|  Gen 25 | 52.00 | -73.70 | 0.55 |  1.54  |      51     |   77.33    |      -1     |
|  Gen 26 | 47.56 | -62.63 | 0.46 |  1.54  |      56     |   75.56    |      -1     |
|  Gen 27 | 47.11 | -77.70 | 0.57 |  1.54  |      48     |   78.67    |      -1     |
|  Gen 28 | 50.22 | -74.10 | 0.55 |  1.54  |      47     |   79.11    |      -1     |
|  Gen 29 | 48.89 | -72.53 | 0.53 |  1.54  |      49     |   78.22    |      -1     |
|  Gen 30 | 48.44 | -66.23 | 0.49 |  1.53  |      64     |   71.11    |      -1     |
|  Gen 31 | 46.22 | -67.80 | 0.50 |  1.53  |      44     |   80.89    |      -1     |
|  Gen 32 | 52.44 | -71.77 | 0.53 |  1.53  |      57     |   74.22    |      -1     |
|  Gen 33 | 49.33 | -71.50 | 0.52 |  1.53  |      57     |   75.11    |      -1     |
|  Gen 34 | 47.56 | -65.47 | 0.48 |  1.53  |      54     |   76.00    |      -1     |
|  Gen 35 | 47.56 | -73.20 | 0.54 |  1.53  |      47     |   79.56    |      -1     |
|  Gen 36 | 49.78 | -72.70 | 0.53 |  1.53  |      52     |   77.33    |      -1     |
|  Gen 37 | 50.67 | -73.30 | 0.54 |  1.53  |      47     |   79.11    |      -1     |
|  Gen 38 | 50.67 | -72.90 | 0.53 |  1.53  |      56     |   75.11    |      -1     |
|  Gen 39 | 48.00 | -66.80 | 0.49 |  1.52  |      54     |   75.56    |      -1     |
|  Gen 40 | 50.67 | -71.17 | 0.52 |  1.52  |      61     |   72.89    |      -1     |
|  Gen 41 | 51.56 | -70.70 | 0.51 |  1.52  |      59     |   74.22    |      -1     |
|  Gen 42 | 49.78 | -71.63 | 0.52 |  1.52  |      55     |   75.56    |      -1     |
|  Gen 43 | 48.44 | -62.90 | 0.46 |  1.52  |      51     |   77.78    |      -1     |
|  Gen 44 | 49.78 | -71.17 | 0.52 |  1.52  |      58     |   74.22    |      -1     |
|  Gen 45 | 48.89 | -68.50 | 0.49 |  1.52  |      46     |   80.00    |      -1     |
|  Gen 46 | 47.56 | -64.10 | 0.46 |  1.52  |      53     |   76.89    |      -1     |
|  Gen 47 | 48.89 | -73.03 | 0.53 |  1.52  |      46     |   79.56    |      -1     |
|  Gen 48 | 48.44 | -71.40 | 0.52 |  1.51  |      47     |   79.11    |      -1     |
|  Gen 49 | 47.56 | -68.40 | 0.49 |  1.51  |      52     |   76.89    |      -1     |
|  Gen 50 | 47.11 | -71.27 | 0.51 |  1.51  |      58     |   74.22    |      -1     |
| Best GC | 50.67 | -85.77 | 0.62 |  1.50  |      47     |   79.11    |      -1     |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
