Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 48.44 | -60.40 | 0.50 |  1.66  |      51     |   77.33    |      0      |
|  Gen 2  | 47.56 | -62.90 | 0.51 |  1.64  |      49     |   78.22    |      0      |
|  Gen 3  | 44.89 | -59.87 | 0.48 |  1.63  |      52     |   76.89    |      0      |
|  Gen 4  | 48.00 | -74.70 | 0.59 |  1.62  |      47     |   79.11    |      0      |
|  Gen 5  | 51.11 | -70.80 | 0.56 |  1.61  |      47     |   79.11    |      0      |
|  Gen 6  | 50.22 | -73.73 | 0.57 |  1.60  |      54     |   76.00    |      0      |
|  Gen 7  | 47.56 | -69.33 | 0.54 |  1.59  |      48     |   78.67    |      0      |
|  Gen 8  | 50.67 | -71.40 | 0.55 |  1.59  |      48     |   78.67    |      0      |
|  Gen 9  | 50.67 | -64.00 | 0.49 |  1.58  |      53     |   76.44    |      0      |
|  Gen 10 | 51.56 | -75.10 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 11 | 49.33 | -69.30 | 0.53 |  1.58  |      56     |   75.11    |      0      |
|  Gen 12 | 48.89 | -71.70 | 0.55 |  1.58  |      57     |   73.78    |      0      |
|  Gen 13 | 48.44 | -67.30 | 0.52 |  1.58  |      46     |   79.11    |      0      |
|  Gen 14 | 47.56 | -71.17 | 0.54 |  1.58  |      53     |   76.44    |      0      |
|  Gen 15 | 53.78 | -76.40 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 16 | 48.89 | -68.30 | 0.52 |  1.57  |      53     |   76.44    |      0      |
|  Gen 17 | 46.22 | -69.67 | 0.53 |  1.56  |      52     |   76.44    |      0      |
|  Gen 18 | 48.44 | -66.80 | 0.50 |  1.56  |      54     |   76.00    |      0      |
|  Gen 19 | 47.56 | -67.40 | 0.51 |  1.56  |      45     |   80.00    |      0      |
|  Gen 20 | 46.22 | -65.80 | 0.50 |  1.56  |      55     |   75.56    |      0      |
|  Gen 21 | 47.11 | -66.40 | 0.50 |  1.56  |      56     |   75.11    |      0      |
|  Gen 22 | 48.44 | -59.20 | 0.44 |  1.56  |      50     |   77.33    |      0      |
|  Gen 23 | 52.00 | -72.93 | 0.55 |  1.56  |      56     |   74.67    |      0      |
|  Gen 24 | 49.78 | -68.20 | 0.51 |  1.55  |      54     |   75.56    |      0      |
|  Gen 25 | 49.78 | -70.70 | 0.53 |  1.55  |      47     |   79.11    |      0      |
|  Gen 26 | 52.00 | -76.70 | 0.57 |  1.55  |      50     |   77.33    |      0      |
|  Gen 27 | 49.78 | -77.13 | 0.57 |  1.55  |      53     |   76.44    |      0      |
|  Gen 28 | 51.11 | -72.00 | 0.53 |  1.54  |      48     |   78.22    |      0      |
|  Gen 29 | 51.11 | -71.87 | 0.53 |  1.54  |      60     |   72.89    |      0      |
|  Gen 30 | 47.56 | -62.97 | 0.46 |  1.54  |      53     |   76.44    |      0      |
|  Gen 31 | 47.11 | -75.00 | 0.55 |  1.54  |      46     |   79.56    |      0      |
|  Gen 32 | 49.78 | -72.03 | 0.53 |  1.54  |      51     |   77.33    |      0      |
|  Gen 33 | 51.11 | -74.90 | 0.55 |  1.54  |      52     |   76.89    |      0      |
|  Gen 34 | 48.00 | -71.20 | 0.52 |  1.53  |      54     |   75.56    |      0      |
|  Gen 35 | 51.11 | -76.20 | 0.56 |  1.53  |      51     |   77.33    |      0      |
|  Gen 36 | 46.22 | -67.80 | 0.50 |  1.53  |      43     |   80.89    |      0      |
|  Gen 37 | 50.67 | -73.30 | 0.54 |  1.53  |      46     |   79.11    |      0      |
|  Gen 38 | 49.33 | -70.10 | 0.51 |  1.53  |      58     |   73.78    |      0      |
|  Gen 39 | 49.78 | -81.40 | 0.60 |  1.53  |      44     |   80.00    |      0      |
|  Gen 40 | 45.78 | -67.40 | 0.49 |  1.52  |      48     |   78.67    |      0      |
|  Gen 41 | 50.22 | -73.33 | 0.53 |  1.52  |      49     |   78.22    |      0      |
|  Gen 42 | 50.67 | -73.80 | 0.54 |  1.52  |      57     |   74.67    |      0      |
|  Gen 43 | 48.89 | -71.20 | 0.52 |  1.52  |      56     |   75.11    |      0      |
|  Gen 44 | 48.44 | -72.10 | 0.52 |  1.52  |      47     |   78.67    |      0      |
|  Gen 45 | 45.33 | -64.97 | 0.47 |  1.51  |      44     |   80.44    |      0      |
|  Gen 46 | 48.89 | -66.70 | 0.48 |  1.51  |      64     |   71.11    |      0      |
|  Gen 47 | 48.00 | -69.20 | 0.49 |  1.50  |      45     |   79.56    |      0      |
|  Gen 48 | 46.67 | -64.70 | 0.46 |  1.50  |      53     |   76.44    |      0      |
|  Gen 49 | 51.11 | -72.90 | 0.52 |  1.50  |      59     |   73.33    |      0      |
|  Gen 50 | 48.89 | -70.73 | 0.50 |  1.50  |      57     |   74.22    |      0      |
| Best GC | 52.44 | -91.00 | 0.56 |  1.30  |      51     |   77.33    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
