Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 49.88 | -171.07 | 0.55 |  1.17  |     109     |   73.76    |      0      |
|  Gen 2  | 51.54 | -170.80 | 0.54 |  1.16  |      99     |   76.60    |      0      |
|  Gen 3  | 50.35 | -166.40 | 0.54 |  1.15  |     104     |   75.41    |      0      |
|  Gen 4  | 49.65 | -159.73 | 0.53 |  1.14  |      94     |   77.78    |      0      |
|  Gen 5  | 48.23 | -148.10 | 0.53 |  1.13  |     102     |   75.65    |      0      |
|  Gen 6  | 50.59 | -155.73 | 0.52 |  1.12  |     109     |   74.23    |      0      |
|  Gen 7  | 49.88 | -163.97 | 0.52 |  1.11  |      94     |   77.54    |      0      |
|  Gen 8  | 49.88 | -151.10 | 0.52 |  1.10  |     101     |   75.65    |      0      |
|  Gen 9  | 48.23 | -153.20 | 0.52 |  1.10  |      99     |   76.12    |      0      |
|  Gen 10 | 49.88 | -157.87 | 0.52 |  1.10  |     105     |   74.94    |      0      |
|  Gen 11 | 50.35 | -160.53 | 0.51 |  1.09  |     102     |   75.65    |      0      |
|  Gen 12 | 49.41 | -154.00 | 0.51 |  1.08  |     101     |   75.65    |      0      |
|  Gen 13 | 50.59 | -168.70 | 0.51 |  1.08  |     114     |   73.05    |      0      |
|  Gen 14 | 49.88 | -157.00 | 0.50 |  1.08  |      96     |   77.07    |      0      |
|  Gen 15 | 50.35 | -173.20 | 0.50 |  1.08  |     109     |   74.23    |      0      |
|  Gen 16 | 48.46 | -166.87 | 0.50 |  1.08  |     103     |   75.41    |      0      |
|  Gen 17 | 49.17 | -161.27 | 0.50 |  1.07  |      91     |   78.49    |      0      |
|  Gen 18 | 49.88 | -158.30 | 0.50 |  1.07  |      97     |   76.60    |      0      |
|  Gen 19 | 49.88 | -166.87 | 0.50 |  1.07  |      95     |   77.30    |      0      |
|  Gen 20 | 49.65 | -163.73 | 0.50 |  1.06  |     110     |   73.76    |      0      |
|  Gen 21 | 50.59 | -155.17 | 0.49 |  1.06  |     107     |   74.47    |      0      |
|  Gen 22 | 46.81 | -153.03 | 0.49 |  1.05  |     101     |   75.65    |      0      |
|  Gen 23 | 49.65 | -156.10 | 0.49 |  1.05  |     102     |   75.89    |      0      |
|  Gen 24 | 49.41 | -160.80 | 0.49 |  1.05  |      95     |   76.36    |      0      |
|  Gen 25 | 47.52 | -160.83 | 0.49 |  1.05  |     101     |   75.89    |      0      |
|  Gen 26 | 47.99 | -157.70 | 0.49 |  1.05  |      96     |   77.30    |      0      |
|  Gen 27 | 47.99 | -155.30 | 0.49 |  1.05  |      94     |   77.30    |      0      |
|  Gen 28 | 46.81 | -161.13 | 0.49 |  1.05  |     101     |   76.12    |      0      |
|  Gen 29 | 49.17 | -154.90 | 0.49 |  1.04  |     107     |   74.47    |      0      |
|  Gen 30 | 48.46 | -160.50 | 0.49 |  1.04  |     110     |   74.00    |      0      |
|  Gen 31 | 49.65 | -150.40 | 0.49 |  1.04  |     104     |   74.94    |      0      |
|  Gen 32 | 47.52 | -151.60 | 0.48 |  1.04  |     102     |   75.89    |      0      |
|  Gen 33 | 49.65 | -155.63 | 0.48 |  1.04  |     109     |   74.00    |      0      |
|  Gen 34 | 49.17 | -147.80 | 0.48 |  1.03  |     102     |   75.41    |      0      |
|  Gen 35 | 50.35 | -170.47 | 0.48 |  1.03  |      96     |   77.07    |      0      |
|  Gen 36 | 47.75 | -168.80 | 0.48 |  1.03  |     112     |   73.52    |      0      |
|  Gen 37 | 46.81 | -153.27 | 0.48 |  1.03  |     100     |   75.89    |      0      |
|  Gen 38 | 47.99 | -143.50 | 0.48 |  1.03  |      98     |   76.60    |      0      |
|  Gen 39 | 46.81 | -155.83 | 0.48 |  1.03  |     109     |   73.76    |      0      |
|  Gen 40 | 48.23 | -155.67 | 0.48 |  1.02  |     104     |   75.18    |      0      |
|  Gen 41 | 47.52 | -145.60 | 0.48 |  1.02  |      99     |   76.36    |      0      |
|  Gen 42 | 48.46 | -158.93 | 0.48 |  1.02  |      98     |   76.60    |      0      |
|  Gen 43 | 49.17 | -171.70 | 0.48 |  1.02  |     109     |   74.00    |      0      |
|  Gen 44 | 48.94 | -159.90 | 0.47 |  1.01  |     103     |   75.41    |      0      |
|  Gen 45 | 49.17 | -153.70 | 0.47 |  1.01  |      95     |   77.30    |      0      |
|  Gen 46 | 49.65 | -173.27 | 0.47 |  1.01  |     102     |   75.89    |      0      |
|  Gen 47 | 46.57 | -153.63 | 0.47 |  1.01  |     106     |   74.94    |      0      |
|  Gen 48 | 49.65 | -153.47 | 0.47 |  1.01  |      99     |   75.89    |      0      |
|  Gen 49 | 46.57 | -154.20 | 0.47 |  1.01  |     106     |   74.70    |      0      |
|  Gen 50 | 50.59 | -160.90 | 0.47 |  1.01  |     108     |   74.47    |      0      |
| Natural | 44.68 | -152.30 | 0.47 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
