Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 54.55 | -37.50 | 0.61 |  0.78  |      22     |   76.77    |      0      |
|  Gen 2  | 51.52 | -39.10 | 0.59 |  0.75  |      26     |   73.74    |      0      |
|  Gen 3  | 55.56 | -35.70 | 0.51 |  0.73  |      24     |   75.76    |      0      |
|  Gen 4  | 51.52 | -37.30 | 0.56 |  0.73  |      15     |   84.85    |      0      |
|  Gen 5  | 56.57 | -32.50 | 0.54 |  0.73  |      28     |   71.72    |      0      |
|  Gen 6  | 54.55 | -30.60 | 0.61 |  0.72  |      24     |   75.76    |      0      |
|  Gen 7  | 51.52 | -33.63 | 0.61 |  0.72  |      22     |   77.78    |      0      |
|  Gen 8  | 48.48 | -37.70 | 0.59 |  0.71  |      23     |   76.77    |      0      |
|  Gen 9  | 49.49 | -38.10 | 0.56 |  0.71  |      23     |   76.77    |      0      |
|  Gen 10 | 53.54 | -30.83 | 0.62 |  0.71  |      22     |   77.78    |      0      |
|  Gen 11 | 48.48 | -41.90 | 0.48 |  0.71  |      25     |   74.75    |      0      |
|  Gen 12 | 51.52 | -31.70 | 0.63 |  0.71  |      22     |   77.78    |      0      |
|  Gen 13 | 49.49 | -36.30 | 0.57 |  0.70  |      24     |   74.75    |      0      |
|  Gen 14 | 52.53 | -34.50 | 0.52 |  0.70  |      25     |   74.75    |      0      |
|  Gen 15 | 47.47 | -41.10 | 0.48 |  0.69  |      26     |   73.74    |      0      |
|  Gen 16 | 51.52 | -32.70 | 0.57 |  0.69  |      24     |   75.76    |      0      |
|  Gen 17 | 51.52 | -32.97 | 0.56 |  0.69  |      22     |   77.78    |      0      |
|  Gen 18 | 52.53 | -32.40 | 0.55 |  0.69  |      26     |   72.73    |      0      |
|  Gen 19 | 51.52 | -37.00 | 0.46 |  0.69  |      29     |   70.71    |      0      |
|  Gen 20 | 49.49 | -36.60 | 0.50 |  0.68  |      23     |   76.77    |      0      |
|  Gen 21 | 50.51 | -32.30 | 0.57 |  0.68  |      25     |   74.75    |      0      |
|  Gen 22 | 49.49 | -39.00 | 0.44 |  0.68  |      21     |   78.79    |      0      |
|  Gen 23 | 52.53 | -26.80 | 0.64 |  0.68  |      25     |   74.75    |      0      |
|  Gen 24 | 50.51 | -35.20 | 0.50 |  0.67  |      27     |   72.73    |      0      |
|  Gen 25 | 50.51 | -36.53 | 0.47 |  0.67  |      27     |   70.71    |      0      |
|  Gen 26 | 51.52 | -30.77 | 0.57 |  0.67  |      24     |   75.76    |      0      |
|  Gen 27 | 50.51 | -35.30 | 0.49 |  0.67  |      28     |   71.72    |      0      |
|  Gen 28 | 51.52 | -31.50 | 0.55 |  0.67  |      26     |   73.74    |      0      |
|  Gen 29 | 53.54 | -31.50 | 0.50 |  0.67  |      27     |   71.72    |      0      |
|  Gen 30 | 51.52 | -28.70 | 0.61 |  0.67  |      23     |   76.77    |      0      |
|  Gen 31 | 50.51 | -34.30 | 0.50 |  0.67  |      30     |   68.69    |      0      |
|  Gen 32 | 50.51 | -30.90 | 0.58 |  0.67  |      21     |   78.79    |      0      |
|  Gen 33 | 55.56 | -30.70 | 0.46 |  0.67  |      29     |   68.69    |      0      |
|  Gen 34 | 50.51 | -32.80 | 0.53 |  0.67  |      27     |   72.73    |      0      |
|  Gen 35 | 51.52 | -32.70 | 0.51 |  0.67  |      27     |   72.73    |      0      |
|  Gen 36 | 51.52 | -32.70 | 0.51 |  0.67  |      24     |   75.76    |      0      |
|  Gen 37 | 52.53 | -33.70 | 0.46 |  0.66  |      22     |   76.77    |      0      |
|  Gen 38 | 49.49 | -33.50 | 0.54 |  0.66  |      26     |   73.74    |      0      |
|  Gen 39 | 47.47 | -34.50 | 0.57 |  0.66  |      25     |   74.75    |      0      |
|  Gen 40 | 52.53 | -32.50 | 0.48 |  0.66  |      27     |   72.73    |      0      |
|  Gen 41 | 49.49 | -31.47 | 0.58 |  0.66  |      27     |   71.72    |      0      |
|  Gen 42 | 50.51 | -29.50 | 0.59 |  0.66  |      27     |   72.73    |      0      |
|  Gen 43 | 52.53 | -32.60 | 0.47 |  0.66  |      27     |   71.72    |      0      |
|  Gen 44 | 51.52 | -33.20 | 0.48 |  0.66  |      26     |   73.74    |      0      |
|  Gen 45 | 48.48 | -31.70 | 0.58 |  0.65  |      29     |   70.71    |      0      |
|  Gen 46 | 51.52 | -33.23 | 0.47 |  0.65  |      22     |   77.78    |      0      |
|  Gen 47 | 50.51 | -34.40 | 0.46 |  0.65  |      23     |   75.76    |      0      |
|  Gen 48 | 50.51 | -31.60 | 0.52 |  0.65  |      32     |   67.68    |      0      |
|  Gen 49 | 51.52 | -31.10 | 0.51 |  0.65  |      27     |   72.73    |      0      |
|  Gen 50 | 49.49 | -33.00 | 0.51 |  0.65  |      24     |   75.76    |      0      |
| Natural | 50.51 | -32.30 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
