Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 49.17 | -169.10 | 0.55 |  1.18  |     101     |   75.65    |      0      |
|  Gen 2  | 49.41 | -173.83 | 0.55 |  1.18  |     113     |   72.81    |      0      |
|  Gen 3  | 49.65 | -165.67 | 0.55 |  1.18  |     101     |   76.12    |      0      |
|  Gen 4  | 49.65 | -158.77 | 0.54 |  1.15  |      92     |   78.25    |      0      |
|  Gen 5  | 49.41 | -168.10 | 0.53 |  1.13  |     107     |   74.47    |      0      |
|  Gen 6  | 50.59 | -172.67 | 0.52 |  1.12  |      96     |   77.30    |      0      |
|  Gen 7  | 49.88 | -166.10 | 0.52 |  1.12  |     106     |   74.70    |      0      |
|  Gen 8  | 48.70 | -161.27 | 0.52 |  1.12  |      94     |   77.78    |      0      |
|  Gen 9  | 50.83 | -162.83 | 0.52 |  1.11  |     109     |   74.23    |      0      |
|  Gen 10 | 51.06 | -168.10 | 0.52 |  1.11  |      96     |   76.83    |      0      |
|  Gen 11 | 49.88 | -159.90 | 0.52 |  1.10  |     100     |   75.89    |      0      |
|  Gen 12 | 50.35 | -159.20 | 0.51 |  1.10  |     108     |   73.76    |      0      |
|  Gen 13 | 49.65 | -156.57 | 0.51 |  1.10  |     103     |   75.65    |      0      |
|  Gen 14 | 49.65 | -175.17 | 0.51 |  1.10  |     105     |   74.94    |      0      |
|  Gen 15 | 50.59 | -155.60 | 0.51 |  1.10  |     108     |   74.47    |      0      |
|  Gen 16 | 50.83 | -160.87 | 0.51 |  1.09  |     103     |   75.18    |      0      |
|  Gen 17 | 49.88 | -170.63 | 0.51 |  1.09  |     114     |   73.05    |      0      |
|  Gen 18 | 47.52 | -153.23 | 0.51 |  1.09  |     100     |   76.12    |      0      |
|  Gen 19 | 49.88 | -163.07 | 0.51 |  1.08  |     104     |   74.94    |      0      |
|  Gen 20 | 49.88 | -162.03 | 0.50 |  1.08  |     103     |   75.65    |      0      |
|  Gen 21 | 46.57 | -155.57 | 0.50 |  1.07  |     103     |   75.18    |      0      |
|  Gen 22 | 50.12 | -177.50 | 0.50 |  1.07  |     101     |   76.12    |      0      |
|  Gen 23 | 47.99 | -155.07 | 0.50 |  1.07  |     101     |   76.12    |      0      |
|  Gen 24 | 48.46 | -155.53 | 0.50 |  1.07  |      93     |   78.01    |      0      |
|  Gen 25 | 49.88 | -157.00 | 0.50 |  1.07  |     105     |   74.94    |      0      |
|  Gen 26 | 49.17 | -145.13 | 0.50 |  1.06  |      98     |   76.36    |      0      |
|  Gen 27 | 49.88 | -155.60 | 0.50 |  1.06  |     104     |   74.70    |      0      |
|  Gen 28 | 49.65 | -170.50 | 0.50 |  1.06  |     107     |   74.47    |      0      |
|  Gen 29 | 47.99 | -152.63 | 0.50 |  1.06  |     115     |   72.81    |      0      |
|  Gen 30 | 50.59 | -176.10 | 0.50 |  1.06  |      97     |   76.83    |      0      |
|  Gen 31 | 50.35 | -167.47 | 0.50 |  1.06  |     109     |   74.23    |      0      |
|  Gen 32 | 47.75 | -153.07 | 0.49 |  1.06  |     106     |   74.47    |      0      |
|  Gen 33 | 48.46 | -156.40 | 0.49 |  1.06  |      99     |   76.12    |      0      |
|  Gen 34 | 47.28 | -156.97 | 0.49 |  1.06  |     109     |   73.76    |      0      |
|  Gen 35 | 48.23 | -149.73 | 0.49 |  1.06  |     101     |   76.12    |      0      |
|  Gen 36 | 47.52 | -166.07 | 0.49 |  1.05  |      97     |   76.83    |      0      |
|  Gen 37 | 48.94 | -148.90 | 0.49 |  1.05  |      99     |   76.60    |      0      |
|  Gen 38 | 46.10 | -162.23 | 0.49 |  1.05  |     107     |   74.70    |      0      |
|  Gen 39 | 49.88 | -155.50 | 0.49 |  1.05  |      98     |   76.83    |      0      |
|  Gen 40 | 49.41 | -158.17 | 0.49 |  1.05  |      99     |   75.65    |      0      |
|  Gen 41 | 49.17 | -151.87 | 0.49 |  1.05  |     106     |   74.70    |      0      |
|  Gen 42 | 47.52 | -148.27 | 0.49 |  1.05  |     102     |   75.41    |      0      |
|  Gen 43 | 49.65 | -163.03 | 0.49 |  1.05  |     105     |   75.18    |      0      |
|  Gen 44 | 47.52 | -151.20 | 0.49 |  1.05  |      99     |   76.12    |      0      |
|  Gen 45 | 46.57 | -158.03 | 0.49 |  1.05  |      92     |   78.25    |      0      |
|  Gen 46 | 49.17 | -157.10 | 0.49 |  1.04  |     102     |   75.18    |      0      |
|  Gen 47 | 49.65 | -159.83 | 0.48 |  1.04  |     101     |   75.89    |      0      |
|  Gen 48 | 47.75 | -149.53 | 0.48 |  1.04  |     106     |   74.70    |      0      |
|  Gen 49 | 48.23 | -157.17 | 0.48 |  1.04  |     109     |   74.00    |      0      |
|  Gen 50 | 47.52 | -148.23 | 0.48 |  1.04  |      95     |   77.54    |      0      |
| Natural | 44.68 | -152.30 | 0.47 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
