+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.22 | -82.87 | 0.43 |      58     |   74.22    |
|  Gen 2   | 50.22 | -79.40 | 0.44 |      47     |   78.67    |
|  Gen 3   | 52.00 | -77.43 | 0.46 |      45     |   80.00    |
|  Gen 4   | 51.11 | -77.83 | 0.46 |      58     |   74.22    |
|  Gen 5   | 52.00 | -75.80 | 0.50 |      54     |   76.00    |
|  Gen 6   | 50.22 | -77.50 | 0.49 |      55     |   75.56    |
|  Gen 7   | 49.78 | -77.37 | 0.50 |      53     |   76.00    |
|  Gen 8   | 49.33 | -76.53 | 0.44 |      53     |   76.00    |
|  Gen 9   | 50.22 | -75.20 | 0.47 |      53     |   76.44    |
|  Gen 10  | 48.44 | -76.30 | 0.42 |      61     |   72.89    |
|  Gen 11  | 47.11 | -77.40 | 0.40 |      53     |   76.44    |
|  Gen 12  | 50.67 | -73.70 | 0.44 |      54     |   76.00    |
|  Gen 13  | 49.78 | -73.63 | 0.45 |      47     |   79.11    |
|  Gen 14  | 50.22 | -73.10 | 0.46 |      56     |   74.67    |
|  Gen 15  | 47.56 | -75.53 | 0.44 |      57     |   74.22    |
|  Gen 16  | 51.56 | -71.27 | 0.42 |      49     |   78.22    |
|  Gen 17  | 49.78 | -72.47 | 0.48 |      55     |   75.56    |
|  Gen 18  | 50.22 | -71.90 | 0.42 |      51     |   77.33    |
|  Gen 19  | 48.00 | -73.90 | 0.40 |      54     |   76.00    |
|  Gen 20  | 47.56 | -74.20 | 0.44 |      59     |   73.78    |
|  Gen 21  | 48.89 | -72.60 | 0.44 |      63     |   72.00    |
|  Gen 22  | 49.78 | -71.70 | 0.44 |      57     |   74.67    |
|  Gen 23  | 49.33 | -71.80 | 0.49 |      57     |   74.67    |
|  Gen 24  | 47.56 | -73.60 | 0.42 |      50     |   77.78    |
|  Gen 25  | 48.89 | -72.20 | 0.40 |      54     |   76.00    |
|  Gen 26  | 48.44 | -72.50 | 0.45 |      60     |   73.33    |
|  Gen 27  | 48.00 | -72.97 | 0.42 |      58     |   73.33    |
|  Gen 28  | 49.33 | -71.63 | 0.41 |      55     |   75.56    |
|  Gen 29  | 48.44 | -72.50 | 0.41 |      55     |   75.11    |
|  Gen 30  | 46.22 | -74.73 | 0.36 |      52     |   76.89    |
|  Gen 31  | 49.33 | -71.40 | 0.46 |      51     |   77.33    |
|  Gen 32  | 48.44 | -72.20 | 0.45 |      54     |   76.00    |
|  Gen 33  | 48.44 | -72.10 | 0.48 |      48     |   78.67    |
|  Gen 34  | 48.44 | -72.00 | 0.45 |      56     |   75.11    |
|  Gen 35  | 47.56 | -72.90 | 0.38 |      49     |   78.22    |
|  Gen 36  | 47.11 | -72.80 | 0.42 |      54     |   75.56    |
|  Gen 37  | 46.67 | -73.20 | 0.40 |      54     |   76.00    |
|  Gen 38  | 50.67 | -68.83 | 0.51 |      53     |   76.44    |
|  Gen 39  | 49.78 | -69.63 | 0.47 |      51     |   77.33    |
|  Gen 40  | 51.11 | -68.27 | 0.46 |      57     |   74.22    |
|  Gen 41  | 48.44 | -70.83 | 0.44 |      49     |   78.22    |
|  Gen 42  | 48.89 | -69.50 | 0.40 |      56     |   75.11    |
|  Gen 43  | 47.56 | -70.60 | 0.46 |      54     |   75.56    |
|  Gen 44  | 48.44 | -69.50 | 0.40 |      47     |   78.67    |
|  Gen 45  | 48.00 | -69.80 | 0.43 |      55     |   75.56    |
|  Gen 46  | 48.44 | -69.30 | 0.43 |      55     |   75.56    |
|  Gen 47  | 48.00 | -69.50 | 0.53 |      55     |   75.11    |
|  Gen 48  | 47.56 | -69.80 | 0.42 |      57     |   74.67    |
|  Gen 49  | 49.33 | -67.90 | 0.50 |      56     |   75.11    |
|  Gen 50  | 49.33 | -67.90 | 0.48 |      56     |   75.11    |
| Best GC  | 52.00 | -77.43 | 0.46 |      45     |   80.00    |
| Best MFE | 50.22 | -82.87 | 0.43 |      58     |   74.22    |
| Best CAI | 48.00 | -69.50 | 0.53 |      55     |   75.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
