+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.56 | -88.80 | 0.48 |      55     |   75.11    |
|  Gen 2   | 51.56 | -88.53 | 0.47 |      57     |   74.22    |
|  Gen 3   | 50.67 | -85.73 | 0.46 |      58     |   73.78    |
|  Gen 4   | 49.78 | -86.23 | 0.44 |      59     |   72.89    |
|  Gen 5   | 51.56 | -84.00 | 0.48 |      53     |   76.00    |
|  Gen 6   | 48.89 | -86.63 | 0.43 |      58     |   73.33    |
|  Gen 7   | 49.78 | -84.30 | 0.45 |      56     |   74.67    |
|  Gen 8   | 49.78 | -84.17 | 0.47 |      52     |   76.44    |
|  Gen 9   | 50.67 | -83.23 | 0.47 |      58     |   73.78    |
|  Gen 10  | 49.33 | -83.33 | 0.45 |      58     |   73.78    |
|  Gen 11  | 50.22 | -82.13 | 0.47 |      57     |   74.22    |
|  Gen 12  | 50.67 | -81.47 | 0.45 |      61     |   72.44    |
|  Gen 13  | 50.67 | -81.43 | 0.47 |      55     |   74.67    |
|  Gen 14  | 50.22 | -81.80 | 0.45 |      56     |   74.67    |
|  Gen 15  | 49.33 | -82.33 | 0.43 |      58     |   73.78    |
|  Gen 16  | 50.67 | -80.77 | 0.46 |      59     |   72.89    |
|  Gen 17  | 49.78 | -81.63 | 0.44 |      61     |   72.00    |
|  Gen 18  | 50.67 | -80.13 | 0.46 |      58     |   73.78    |
|  Gen 19  | 50.67 | -79.90 | 0.46 |      57     |   73.78    |
|  Gen 20  | 49.78 | -80.77 | 0.44 |      58     |   73.78    |
|  Gen 21  | 49.33 | -81.17 | 0.44 |      58     |   73.78    |
|  Gen 22  | 50.22 | -80.17 | 0.45 |      60     |   72.89    |
|  Gen 23  | 50.22 | -79.87 | 0.46 |      59     |   72.89    |
|  Gen 24  | 50.22 | -79.73 | 0.46 |      55     |   75.11    |
|  Gen 25  | 49.78 | -80.17 | 0.46 |      53     |   76.00    |
|  Gen 26  | 49.78 | -80.13 | 0.46 |      58     |   73.78    |
|  Gen 27  | 49.78 | -80.13 | 0.44 |      55     |   74.67    |
|  Gen 28  | 49.33 | -80.10 | 0.44 |      56     |   74.67    |
|  Gen 29  | 50.67 | -78.70 | 0.46 |      55     |   74.67    |
|  Gen 30  | 49.33 | -79.83 | 0.46 |      52     |   76.44    |
|  Gen 31  | 50.22 | -78.83 | 0.45 |      61     |   72.44    |
|  Gen 32  | 48.89 | -79.93 | 0.45 |      54     |   75.56    |
|  Gen 33  | 49.33 | -79.30 | 0.46 |      59     |   72.89    |
|  Gen 34  | 50.22 | -78.40 | 0.46 |      57     |   73.78    |
|  Gen 35  | 49.33 | -79.20 | 0.44 |      54     |   75.11    |
|  Gen 36  | 49.33 | -79.13 | 0.47 |      54     |   75.11    |
|  Gen 37  | 49.78 | -78.70 | 0.45 |      56     |   74.22    |
|  Gen 38  | 50.67 | -77.67 | 0.46 |      60     |   72.44    |
|  Gen 39  | 50.22 | -78.00 | 0.45 |      55     |   74.67    |
|  Gen 40  | 48.89 | -79.23 | 0.44 |      54     |   75.11    |
|  Gen 41  | 49.78 | -78.27 | 0.44 |      56     |   74.67    |
|  Gen 42  | 50.67 | -77.30 | 0.43 |      57     |   73.78    |
|  Gen 43  | 48.89 | -79.00 | 0.43 |      59     |   72.89    |
|  Gen 44  | 49.33 | -78.47 | 0.43 |      59     |   72.89    |
|  Gen 45  | 49.33 | -78.30 | 0.45 |      57     |   74.22    |
|  Gen 46  | 49.33 | -78.20 | 0.44 |      58     |   73.33    |
|  Gen 47  | 49.33 | -78.10 | 0.44 |      58     |   73.33    |
|  Gen 48  | 50.67 | -76.73 | 0.45 |      55     |   74.67    |
|  Gen 49  | 48.89 | -78.53 | 0.42 |      55     |   74.67    |
|  Gen 50  | 49.78 | -77.60 | 0.46 |      57     |   73.78    |
| Best GC  | 51.56 | -88.53 | 0.47 |      57     |   74.22    |
| Best MFE | 51.56 | -88.80 | 0.48 |      55     |   75.11    |
| Best CAI | 51.56 | -84.00 | 0.48 |      53     |   76.00    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
