Comprehensive Sequence Comparison Table
==================================================

+---------+-------+------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % | MFE  | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+------+------+--------+-------------+------------+-------------+
|  Gen 1  | 53.33 | 0.00 | 1.00 |  3.51  |      5      |   75.00    |      3      |
|  Gen 2  | 53.33 | 0.00 | 0.85 |  3.22  |      4      |   91.67    |      3      |
|  Gen 3  | 46.67 | 0.00 | 0.85 |  3.21  |      5      |   66.67    |      3      |
|  Gen 4  | 46.67 | 0.00 | 0.84 |  3.19  |      5      |   83.33    |      3      |
|  Gen 5  | 46.67 | 0.00 | 0.76 |  3.03  |      6      |   66.67    |      3      |
|  Gen 6  | 46.67 | 0.00 | 0.73 |  2.96  |      5      |   83.33    |      3      |
|  Gen 7  | 40.00 | 0.00 | 0.72 |  2.94  |      5      |   75.00    |      3      |
|  Gen 8  | 46.67 | 0.00 | 0.72 |  2.94  |      4      |   75.00    |      3      |
|  Gen 9  | 46.67 | 0.00 | 0.65 |  2.81  |      4      |   83.33    |      3      |
|  Gen 10 | 40.00 | 0.00 | 0.65 |  2.81  |      6      |   58.33    |      3      |
|  Gen 11 | 40.00 | 0.00 | 0.64 |  2.79  |      5      |   75.00    |      3      |
|  Gen 12 | 46.67 | 0.00 | 0.63 |  2.76  |      3      |   100.00   |      3      |
|  Gen 13 | 40.00 | 0.00 | 0.61 |  2.73  |      4      |   66.67    |      3      |
|  Gen 14 | 40.00 | 0.00 | 0.55 |  2.62  |      5      |   75.00    |      3      |
|  Gen 15 | 40.00 | 0.00 | 0.55 |  2.60  |      5      |   66.67    |      3      |
|  Gen 16 | 33.33 | 0.00 | 0.55 |  2.60  |      6      |   66.67    |      3      |
|  Gen 17 | 40.00 | 0.00 | 0.53 |  2.57  |      4      |   91.67    |      3      |
|  Gen 18 | 53.33 | 0.00 | 0.50 |  2.50  |      5      |   75.00    |      3      |
|  Gen 19 | 40.00 | 0.00 | 0.48 |  2.46  |      3      |   91.67    |      3      |
|  Gen 20 | 33.33 | 0.00 | 0.47 |  2.44  |      5      |   58.33    |      3      |
|  Gen 21 | 46.67 | 0.00 | 0.42 |  2.35  |      5      |   66.67    |      3      |
|  Gen 22 | 33.33 | 0.00 | 0.41 |  2.32  |      4      |   83.33    |      3      |
|  Gen 23 | 46.67 | 0.00 | 0.38 |  2.26  |      6      |   66.67    |      3      |
|  Gen 24 | 40.00 | 0.00 | 0.32 |  2.15  |      6      |   58.33    |      3      |
| Natural | 50.00 | 0.00 | 0.63 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+------+------+--------+-------------+------------+-------------+
