Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 51.32 | -272.73 | 0.58 |  0.75  |     156     |   77.05    |      0      |
|  Gen 2  | 50.15 | -291.43 | 0.53 |  0.75  |     168     |   75.15    |      0      |
|  Gen 3  | 50.88 | -291.07 | 0.50 |  0.74  |     155     |   77.19    |      0      |
|  Gen 4  | 51.17 | -282.47 | 0.51 |  0.74  |     173     |   74.56    |      0      |
|  Gen 5  | 50.88 | -276.97 | 0.52 |  0.73  |     172     |   74.71    |      0      |
|  Gen 6  | 50.29 | -282.43 | 0.50 |  0.72  |     159     |   76.61    |      0      |
|  Gen 7  | 50.58 | -279.70 | 0.50 |  0.72  |     167     |   75.44    |      0      |
|  Gen 8  | 49.42 | -282.27 | 0.52 |  0.72  |     150     |   77.63    |      0      |
|  Gen 9  | 50.58 | -279.77 | 0.50 |  0.72  |     173     |   74.42    |      0      |
|  Gen 10 | 50.00 | -271.70 | 0.54 |  0.72  |     175     |   74.12    |      0      |
|  Gen 11 | 50.44 | -277.00 | 0.51 |  0.72  |     165     |   75.73    |      0      |
|  Gen 12 | 49.42 | -278.93 | 0.53 |  0.72  |     163     |   76.17    |      0      |
|  Gen 13 | 50.73 | -275.00 | 0.50 |  0.72  |     162     |   76.17    |      0      |
|  Gen 14 | 50.00 | -284.13 | 0.49 |  0.72  |     165     |   75.29    |      0      |
|  Gen 15 | 50.00 | -276.60 | 0.52 |  0.72  |     165     |   75.73    |      0      |
|  Gen 16 | 50.29 | -275.83 | 0.51 |  0.72  |     166     |   75.15    |      0      |
|  Gen 17 | 50.44 | -280.90 | 0.49 |  0.72  |     163     |   75.88    |      0      |
|  Gen 18 | 49.71 | -280.73 | 0.51 |  0.72  |     163     |   75.73    |      0      |
|  Gen 19 | 49.27 | -286.27 | 0.50 |  0.72  |     162     |   75.73    |      0      |
|  Gen 20 | 50.44 | -271.00 | 0.52 |  0.72  |     162     |   76.17    |      0      |
|  Gen 21 | 49.27 | -280.80 | 0.51 |  0.72  |     160     |   76.61    |      0      |
|  Gen 22 | 50.44 | -279.03 | 0.48 |  0.71  |     162     |   76.17    |      0      |
|  Gen 23 | 48.83 | -283.50 | 0.51 |  0.71  |     164     |   76.02    |      0      |
|  Gen 24 | 50.00 | -277.73 | 0.50 |  0.71  |     166     |   75.58    |      0      |
|  Gen 25 | 49.12 | -280.70 | 0.51 |  0.71  |     154     |   77.19    |      0      |
|  Gen 26 | 49.27 | -278.40 | 0.51 |  0.71  |     145     |   78.51    |      0      |
|  Gen 27 | 50.58 | -273.47 | 0.49 |  0.71  |     158     |   76.61    |      0      |
|  Gen 28 | 49.12 | -280.40 | 0.51 |  0.71  |     151     |   77.92    |      0      |
|  Gen 29 | 50.00 | -274.70 | 0.50 |  0.71  |     161     |   76.32    |      0      |
|  Gen 30 | 50.73 | -264.73 | 0.51 |  0.71  |     160     |   76.32    |      0      |
|  Gen 31 | 49.12 | -272.93 | 0.52 |  0.71  |     174     |   74.27    |      0      |
|  Gen 32 | 49.85 | -271.13 | 0.51 |  0.71  |     166     |   75.15    |      0      |
|  Gen 33 | 50.00 | -271.37 | 0.51 |  0.71  |     172     |   74.56    |      0      |
|  Gen 34 | 49.12 | -272.07 | 0.52 |  0.71  |     165     |   75.73    |      0      |
|  Gen 35 | 48.83 | -278.87 | 0.51 |  0.71  |     176     |   74.12    |      0      |
|  Gen 36 | 48.83 | -278.30 | 0.51 |  0.71  |     167     |   75.58    |      0      |
|  Gen 37 | 48.83 | -277.43 | 0.51 |  0.71  |     162     |   76.02    |      0      |
|  Gen 38 | 50.00 | -276.13 | 0.48 |  0.71  |     169     |   75.29    |      0      |
|  Gen 39 | 49.42 | -280.90 | 0.48 |  0.71  |     172     |   74.85    |      0      |
|  Gen 40 | 48.83 | -281.90 | 0.49 |  0.70  |     173     |   74.27    |      0      |
|  Gen 41 | 49.27 | -268.40 | 0.52 |  0.70  |     174     |   74.12    |      0      |
|  Gen 42 | 48.25 | -282.27 | 0.50 |  0.70  |     171     |   75.00    |      0      |
|  Gen 43 | 50.15 | -269.20 | 0.49 |  0.70  |     168     |   75.29    |      0      |
|  Gen 44 | 50.00 | -271.30 | 0.49 |  0.70  |     170     |   75.00    |      0      |
|  Gen 45 | 49.56 | -268.70 | 0.51 |  0.70  |     170     |   75.00    |      0      |
|  Gen 46 | 48.10 | -278.57 | 0.51 |  0.70  |     165     |   75.73    |      0      |
|  Gen 47 | 49.56 | -272.10 | 0.50 |  0.70  |     167     |   75.29    |      0      |
|  Gen 48 | 48.98 | -277.57 | 0.49 |  0.70  |     166     |   75.58    |      0      |
|  Gen 49 | 49.56 | -267.47 | 0.51 |  0.70  |     149     |   78.22    |      0      |
|  Gen 50 | 49.42 | -274.33 | 0.49 |  0.70  |     173     |   74.56    |      0      |
| Natural | 51.17 | -279.80 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
