+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.67 | -83.30 | 0.61 |      54     |   76.00    |
|  Gen 2   | 49.33 | -83.27 | 0.60 |      43     |   80.89    |
|  Gen 3   | 52.00 | -84.50 | 0.59 |      57     |   74.22    |
|  Gen 4   | 49.78 | -65.53 | 0.59 |      50     |   77.78    |
|  Gen 5   | 51.56 | -76.37 | 0.57 |      56     |   75.11    |
|  Gen 6   | 52.44 | -84.60 | 0.55 |      49     |   77.33    |
|  Gen 7   | 49.33 | -77.87 | 0.56 |      44     |   80.44    |
|  Gen 8   | 49.78 | -73.57 | 0.56 |      45     |   80.00    |
|  Gen 9   | 48.44 | -69.87 | 0.56 |      46     |   79.56    |
|  Gen 10  | 49.33 | -65.37 | 0.57 |      47     |   78.67    |
|  Gen 11  | 51.11 | -83.87 | 0.53 |      55     |   75.56    |
|  Gen 12  | 52.44 | -82.10 | 0.53 |      52     |   76.44    |
|  Gen 13  | 48.00 | -71.30 | 0.55 |      52     |   76.44    |
|  Gen 14  | 50.22 | -77.30 | 0.54 |      50     |   77.33    |
|  Gen 15  | 49.33 | -73.20 | 0.54 |      55     |   75.56    |
|  Gen 16  | 49.78 | -81.60 | 0.53 |      52     |   76.00    |
|  Gen 17  | 52.89 | -74.40 | 0.54 |      46     |   79.56    |
|  Gen 18  | 49.33 | -78.77 | 0.53 |      61     |   72.89    |
|  Gen 19  | 52.00 | -76.13 | 0.53 |      54     |   75.56    |
|  Gen 20  | 48.44 | -79.70 | 0.53 |      46     |   79.56    |
|  Gen 21  | 48.44 | -79.40 | 0.53 |      54     |   75.56    |
|  Gen 22  | 49.33 | -73.10 | 0.53 |      52     |   76.44    |
|  Gen 23  | 48.00 | -77.60 | 0.52 |      52     |   76.89    |
|  Gen 24  | 50.67 | -76.50 | 0.52 |      56     |   75.11    |
|  Gen 25  | 48.44 | -76.13 | 0.52 |      54     |   75.56    |
|  Gen 26  | 47.11 | -68.70 | 0.53 |      54     |   75.56    |
|  Gen 27  | 52.00 | -78.50 | 0.51 |      53     |   76.00    |
|  Gen 28  | 49.78 | -68.30 | 0.53 |      44     |   80.44    |
|  Gen 29  | 51.11 | -79.90 | 0.51 |      51     |   77.33    |
|  Gen 30  | 48.44 | -73.93 | 0.52 |      52     |   76.89    |
|  Gen 31  | 50.22 | -84.67 | 0.50 |      56     |   75.11    |
|  Gen 32  | 48.44 | -70.60 | 0.52 |      44     |   79.56    |
|  Gen 33  | 47.56 | -71.70 | 0.52 |      50     |   77.33    |
|  Gen 34  | 48.44 | -68.53 | 0.52 |      46     |   79.56    |
|  Gen 35  | 51.11 | -75.40 | 0.51 |      54     |   75.56    |
|  Gen 36  | 48.44 | -69.80 | 0.52 |      57     |   74.67    |
|  Gen 37  | 47.56 | -69.83 | 0.51 |      47     |   79.11    |
|  Gen 38  | 49.33 | -72.50 | 0.51 |      55     |   75.56    |
|  Gen 39  | 48.44 | -73.70 | 0.51 |      57     |   74.67    |
|  Gen 40  | 50.67 | -76.80 | 0.50 |      45     |   80.00    |
|  Gen 41  | 47.11 | -70.40 | 0.51 |      57     |   74.67    |
|  Gen 42  | 48.44 | -76.50 | 0.50 |      46     |   79.56    |
|  Gen 43  | 49.33 | -73.00 | 0.51 |      56     |   75.11    |
|  Gen 44  | 48.89 | -75.50 | 0.50 |      50     |   77.33    |
|  Gen 45  | 48.44 | -76.70 | 0.50 |      49     |   78.22    |
|  Gen 46  | 45.33 | -71.80 | 0.50 |      50     |   77.33    |
|  Gen 47  | 50.67 | -66.47 | 0.51 |      56     |   75.11    |
|  Gen 48  | 48.44 | -72.60 | 0.50 |      55     |   75.11    |
|  Gen 49  | 48.00 | -69.90 | 0.51 |      40     |   81.78    |
|  Gen 50  | 47.56 | -74.00 | 0.50 |      49     |   77.78    |
| Best GC  | 52.89 | -74.40 | 0.54 |      46     |   79.56    |
| Best MFE | 50.22 | -84.67 | 0.50 |      56     |   75.11    |
| Best CAI | 50.67 | -83.30 | 0.61 |      54     |   76.00    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
