Comprehensive Sequence Comparison Table
==================================================

+----------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq    |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+----------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1   | 48.44 | -60.40 | 0.50 |  1.66  |      51     |   77.33    |      0      |
|  Gen 2   | 48.89 | -65.87 | 0.54 |  1.65  |      53     |   76.44    |      0      |
|  Gen 3   | 44.89 | -59.87 | 0.48 |  1.63  |      52     |   76.89    |      0      |
|  Gen 4   | 48.00 | -74.70 | 0.59 |  1.62  |      47     |   79.11    |      0      |
|  Gen 5   | 50.22 | -61.20 | 0.49 |  1.61  |      54     |   76.00    |      0      |
|  Gen 6   | 47.56 | -65.40 | 0.51 |  1.60  |      49     |   78.22    |      0      |
|  Gen 7   | 50.22 | -73.73 | 0.57 |  1.60  |      54     |   76.00    |      0      |
|  Gen 8   | 49.78 | -69.97 | 0.54 |  1.60  |      46     |   79.56    |      0      |
|  Gen 9   | 47.56 | -69.33 | 0.54 |  1.59  |      48     |   78.67    |      0      |
|  Gen 10  | 50.67 | -71.40 | 0.55 |  1.59  |      48     |   78.67    |      0      |
|  Gen 11  | 51.56 | -75.10 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 12  | 49.33 | -69.30 | 0.53 |  1.58  |      56     |   75.11    |      0      |
|  Gen 13  | 47.56 | -67.60 | 0.52 |  1.58  |      53     |   76.00    |      0      |
|  Gen 14  | 48.89 | -71.70 | 0.55 |  1.58  |      57     |   73.78    |      0      |
|  Gen 15  | 47.56 | -71.17 | 0.54 |  1.58  |      53     |   76.44    |      0      |
|  Gen 16  | 53.78 | -76.40 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 17  | 50.67 | -72.10 | 0.55 |  1.57  |      46     |   79.56    |      0      |
|  Gen 18  | 46.22 | -69.67 | 0.53 |  1.56  |      52     |   76.44    |      0      |
|  Gen 19  | 47.56 | -67.40 | 0.51 |  1.56  |      45     |   80.00    |      0      |
|  Gen 20  | 47.11 | -66.40 | 0.50 |  1.56  |      56     |   75.11    |      0      |
|  Gen 21  | 52.00 | -72.93 | 0.55 |  1.56  |      56     |   74.67    |      0      |
|  Gen 22  | 49.78 | -68.20 | 0.51 |  1.55  |      54     |   75.56    |      0      |
|  Gen 23  | 48.00 | -66.60 | 0.50 |  1.55  |      53     |   76.44    |      0      |
|  Gen 24  | 51.56 | -72.00 | 0.54 |  1.55  |      47     |   78.67    |      0      |
|  Gen 25  | 48.00 | -67.17 | 0.50 |  1.55  |      48     |   78.67    |      0      |
|  Gen 26  | 50.22 | -70.10 | 0.52 |  1.55  |      58     |   73.78    |      0      |
|  Gen 27  | 52.00 | -76.70 | 0.57 |  1.55  |      50     |   77.33    |      0      |
|  Gen 28  | 46.22 | -59.50 | 0.44 |  1.54  |      54     |   76.00    |      0      |
|  Gen 29  | 51.11 | -71.87 | 0.53 |  1.54  |      60     |   72.89    |      0      |
|  Gen 30  | 47.56 | -62.97 | 0.46 |  1.54  |      53     |   76.44    |      0      |
|  Gen 31  | 47.11 | -75.00 | 0.55 |  1.54  |      46     |   79.56    |      0      |
|  Gen 32  | 48.00 | -60.00 | 0.44 |  1.54  |      49     |   77.78    |      0      |
|  Gen 33  | 49.78 | -72.03 | 0.53 |  1.54  |      51     |   77.33    |      0      |
|  Gen 34  | 49.33 | -77.13 | 0.57 |  1.54  |      52     |   76.89    |      0      |
|  Gen 35  | 51.11 | -74.90 | 0.55 |  1.54  |      52     |   76.89    |      0      |
|  Gen 36  | 48.44 | -66.23 | 0.49 |  1.53  |      64     |   71.11    |      0      |
|  Gen 37  | 51.11 | -76.20 | 0.56 |  1.53  |      51     |   77.33    |      0      |
|  Gen 38  | 46.22 | -67.80 | 0.50 |  1.53  |      43     |   80.89    |      0      |
|  Gen 39  | 50.67 | -73.30 | 0.54 |  1.53  |      46     |   79.11    |      0      |
|  Gen 40  | 50.22 | -73.33 | 0.53 |  1.52  |      49     |   78.22    |      0      |
|  Gen 41  | 46.22 | -68.20 | 0.49 |  1.52  |      47     |   79.11    |      0      |
|  Gen 42  | 47.56 | -69.20 | 0.50 |  1.52  |      44     |   80.00    |      0      |
|  Gen 43  | 50.67 | -73.80 | 0.54 |  1.52  |      57     |   74.67    |      0      |
|  Gen 44  | 46.67 | -70.37 | 0.51 |  1.52  |      56     |   75.11    |      0      |
|  Gen 45  | 44.44 | -60.67 | 0.43 |  1.51  |      55     |   75.11    |      0      |
|  Gen 46  | 44.89 | -64.10 | 0.46 |  1.51  |      43     |   80.89    |      0      |
|  Gen 47  | 47.56 | -71.10 | 0.51 |  1.51  |      54     |   76.00    |      0      |
|  Gen 48  | 48.89 | -72.20 | 0.52 |  1.51  |      47     |   78.67    |      0      |
|  Gen 49  | 48.89 | -74.13 | 0.53 |  1.51  |      48     |   78.22    |      0      |
|  Gen 50  | 50.22 | -71.97 | 0.52 |  1.51  |      51     |   77.33    |      0      |
| Best GC  | 52.00 | -86.20 | 0.56 |  1.37  |      52     |   76.89    |      0      |
| Best MFE | 50.22 | -86.00 | 0.61 |  1.48  |      45     |   79.56    |      0      |
| Natural  | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+----------+-------+--------+------+--------+-------------+------------+-------------+
