Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 55.56 | -37.80 | 0.51 |  0.75  |      24     |   75.76    |      0      |
|  Gen 2  | 50.51 | -38.27 | 0.60 |  0.74  |      20     |   79.80    |      0      |
|  Gen 3  | 50.51 | -44.00 | 0.44 |  0.73  |      26     |   71.72    |      0      |
|  Gen 4  | 54.55 | -31.73 | 0.58 |  0.72  |      29     |   70.71    |      0      |
|  Gen 5  | 54.55 | -31.60 | 0.58 |  0.71  |      22     |   75.76    |      0      |
|  Gen 6  | 52.53 | -34.10 | 0.55 |  0.70  |      24     |   75.76    |      0      |
|  Gen 7  | 49.49 | -32.50 | 0.63 |  0.69  |      25     |   74.75    |      0      |
|  Gen 8  | 51.52 | -37.20 | 0.47 |  0.69  |      31     |   67.68    |      0      |
|  Gen 9  | 54.55 | -29.60 | 0.56 |  0.69  |      27     |   71.72    |      0      |
|  Gen 10 | 50.51 | -35.83 | 0.50 |  0.68  |      29     |   69.70    |      0      |
|  Gen 11 | 50.51 | -33.20 | 0.55 |  0.68  |      23     |   76.77    |      0      |
|  Gen 12 | 52.53 | -35.00 | 0.45 |  0.67  |      32     |   67.68    |      0      |
|  Gen 13 | 51.52 | -34.20 | 0.49 |  0.67  |      26     |   73.74    |      0      |
|  Gen 14 | 49.49 | -31.10 | 0.61 |  0.67  |      25     |   74.75    |      0      |
|  Gen 15 | 51.52 | -28.90 | 0.60 |  0.67  |      31     |   67.68    |      0      |
|  Gen 16 | 49.49 | -36.20 | 0.48 |  0.67  |      30     |   68.69    |      0      |
|  Gen 17 | 49.49 | -34.93 | 0.51 |  0.67  |      26     |   73.74    |      0      |
|  Gen 18 | 49.49 | -31.13 | 0.59 |  0.66  |      29     |   70.71    |      0      |
|  Gen 19 | 53.54 | -33.80 | 0.43 |  0.66  |      24     |   73.74    |      0      |
|  Gen 20 | 52.53 | -34.33 | 0.44 |  0.66  |      27     |   71.72    |      0      |
|  Gen 21 | 50.51 | -34.10 | 0.49 |  0.66  |      29     |   69.70    |      0      |
|  Gen 22 | 49.49 | -34.10 | 0.52 |  0.66  |      25     |   74.75    |      0      |
|  Gen 23 | 52.53 | -28.10 | 0.57 |  0.66  |      29     |   69.70    |      0      |
|  Gen 24 | 51.52 | -32.27 | 0.50 |  0.66  |      21     |   78.79    |      0      |
|  Gen 25 | 51.52 | -29.40 | 0.55 |  0.65  |      20     |   79.80    |      0      |
|  Gen 26 | 50.51 | -30.50 | 0.55 |  0.65  |      31     |   67.68    |      0      |
|  Gen 27 | 52.53 | -29.80 | 0.51 |  0.65  |      27     |   72.73    |      0      |
|  Gen 28 | 47.47 | -34.40 | 0.53 |  0.65  |      25     |   73.74    |      0      |
|  Gen 29 | 46.46 | -35.90 | 0.52 |  0.65  |      26     |   72.73    |      0      |
|  Gen 30 | 49.49 | -32.20 | 0.53 |  0.65  |      27     |   72.73    |      0      |
|  Gen 31 | 51.52 | -32.30 | 0.47 |  0.65  |      27     |   72.73    |      0      |
|  Gen 32 | 48.48 | -30.80 | 0.58 |  0.65  |      23     |   76.77    |      0      |
|  Gen 33 | 52.53 | -25.90 | 0.58 |  0.64  |      28     |   70.71    |      0      |
|  Gen 34 | 50.51 | -33.70 | 0.46 |  0.64  |      31     |   67.68    |      0      |
|  Gen 35 | 48.48 | -31.80 | 0.54 |  0.64  |      23     |   75.76    |      0      |
|  Gen 36 | 49.49 | -31.50 | 0.52 |  0.64  |      27     |   72.73    |      0      |
|  Gen 37 | 48.48 | -30.50 | 0.57 |  0.64  |      22     |   77.78    |      0      |
|  Gen 38 | 49.49 | -33.30 | 0.48 |  0.64  |      23     |   75.76    |      0      |
|  Gen 39 | 51.52 | -28.50 | 0.54 |  0.64  |      29     |   70.71    |      0      |
|  Gen 40 | 50.51 | -26.10 | 0.61 |  0.64  |      25     |   73.74    |      0      |
|  Gen 41 | 48.48 | -31.60 | 0.53 |  0.63  |      27     |   72.73    |      0      |
|  Gen 42 | 52.53 | -26.40 | 0.54 |  0.63  |      27     |   72.73    |      0      |
|  Gen 43 | 50.51 | -31.40 | 0.48 |  0.63  |      23     |   76.77    |      0      |
|  Gen 44 | 49.49 | -31.40 | 0.50 |  0.63  |      25     |   73.74    |      0      |
|  Gen 45 | 50.51 | -29.20 | 0.52 |  0.63  |      24     |   75.76    |      0      |
|  Gen 46 | 49.49 | -31.50 | 0.49 |  0.63  |      27     |   70.71    |      0      |
|  Gen 47 | 46.46 | -30.30 | 0.59 |  0.63  |      24     |   75.76    |      0      |
|  Gen 48 | 47.47 | -31.30 | 0.54 |  0.62  |      29     |   69.70    |      0      |
|  Gen 49 | 50.51 | -26.60 | 0.57 |  0.62  |      28     |   70.71    |      0      |
|  Gen 50 | 51.52 | -30.63 | 0.45 |  0.62  |      30     |   68.69    |      0      |
| Natural | 50.51 | -32.30 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
