Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 52.44 | -81.60 | 0.61 |  0.74  |      52     |   76.89    |      0      |
|  Gen 2  | 52.00 | -81.30 | 0.61 |  0.74  |      53     |   76.00    |      0      |
|  Gen 3  | 52.00 | -80.27 | 0.58 |  0.72  |      54     |   76.00    |      0      |
|  Gen 4  | 52.00 | -81.07 | 0.57 |  0.72  |      53     |   76.00    |      0      |
|  Gen 5  | 53.33 | -77.30 | 0.56 |  0.72  |      48     |   78.22    |      0      |
|  Gen 6  | 49.78 | -79.60 | 0.62 |  0.71  |      49     |   78.22    |      0      |
|  Gen 7  | 52.89 | -76.83 | 0.57 |  0.71  |      52     |   76.44    |      0      |
|  Gen 8  | 52.44 | -77.00 | 0.58 |  0.71  |      50     |   77.78    |      0      |
|  Gen 9  | 51.11 | -80.80 | 0.57 |  0.71  |      45     |   79.56    |      0      |
|  Gen 10 | 50.67 | -80.93 | 0.56 |  0.70  |      55     |   75.56    |      0      |
|  Gen 11 | 49.33 | -80.00 | 0.59 |  0.70  |      51     |   77.33    |      0      |
|  Gen 12 | 50.22 | -81.43 | 0.56 |  0.70  |      51     |   77.33    |      0      |
|  Gen 13 | 52.00 | -75.70 | 0.57 |  0.70  |      47     |   79.11    |      0      |
|  Gen 14 | 51.11 | -80.53 | 0.54 |  0.70  |      55     |   75.11    |      0      |
|  Gen 15 | 50.67 | -76.77 | 0.59 |  0.70  |      54     |   75.56    |      0      |
|  Gen 16 | 51.11 | -80.07 | 0.54 |  0.70  |      55     |   74.67    |      0      |
|  Gen 17 | 51.11 | -82.57 | 0.51 |  0.69  |      56     |   75.11    |      0      |
|  Gen 18 | 51.11 | -80.57 | 0.52 |  0.69  |      53     |   76.44    |      0      |
|  Gen 19 | 50.67 | -79.53 | 0.54 |  0.69  |      56     |   75.11    |      0      |
|  Gen 20 | 52.44 | -74.83 | 0.54 |  0.69  |      50     |   77.78    |      0      |
|  Gen 21 | 51.11 | -76.60 | 0.55 |  0.69  |      53     |   76.44    |      0      |
|  Gen 22 | 51.56 | -76.67 | 0.54 |  0.69  |      51     |   76.89    |      0      |
|  Gen 23 | 52.00 | -78.30 | 0.50 |  0.68  |      50     |   77.78    |      0      |
|  Gen 24 | 50.67 | -83.70 | 0.47 |  0.68  |      47     |   79.11    |      0      |
|  Gen 25 | 49.33 | -80.30 | 0.54 |  0.68  |      52     |   76.89    |      0      |
|  Gen 26 | 50.67 | -79.90 | 0.50 |  0.68  |      47     |   79.11    |      0      |
|  Gen 27 | 48.44 | -82.30 | 0.53 |  0.68  |      48     |   77.78    |      0      |
|  Gen 28 | 50.67 | -75.77 | 0.54 |  0.67  |      52     |   76.89    |      0      |
|  Gen 29 | 49.78 | -75.23 | 0.55 |  0.67  |      51     |   76.89    |      0      |
|  Gen 30 | 50.22 | -75.27 | 0.52 |  0.66  |      50     |   77.33    |      0      |
|  Gen 31 | 50.67 | -73.07 | 0.53 |  0.66  |      45     |   80.00    |      0      |
|  Gen 32 | 49.78 | -77.20 | 0.51 |  0.66  |      52     |   76.89    |      0      |
|  Gen 33 | 49.33 | -80.80 | 0.49 |  0.66  |      53     |   76.44    |      0      |
|  Gen 34 | 48.44 | -76.97 | 0.54 |  0.66  |      47     |   79.11    |      0      |
|  Gen 35 | 49.33 | -76.20 | 0.53 |  0.66  |      55     |   75.11    |      0      |
|  Gen 36 | 48.89 | -74.40 | 0.54 |  0.65  |      54     |   76.00    |      0      |
|  Gen 37 | 50.67 | -74.03 | 0.50 |  0.65  |      45     |   80.00    |      0      |
|  Gen 38 | 50.67 | -70.43 | 0.53 |  0.65  |      51     |   76.89    |      0      |
|  Gen 39 | 51.11 | -72.90 | 0.50 |  0.65  |      55     |   75.56    |      0      |
|  Gen 40 | 48.00 | -74.40 | 0.56 |  0.65  |      50     |   77.78    |      0      |
|  Gen 41 | 47.56 | -77.30 | 0.53 |  0.65  |      53     |   76.00    |      0      |
|  Gen 42 | 46.22 | -77.80 | 0.56 |  0.65  |      45     |   80.00    |      0      |
|  Gen 43 | 48.00 | -74.23 | 0.55 |  0.65  |      50     |   77.78    |      0      |
|  Gen 44 | 49.33 | -73.57 | 0.52 |  0.65  |      48     |   78.67    |      0      |
|  Gen 45 | 48.89 | -72.80 | 0.53 |  0.64  |      51     |   77.33    |      0      |
|  Gen 46 | 47.11 | -74.43 | 0.56 |  0.64  |      49     |   78.22    |      0      |
|  Gen 47 | 46.67 | -78.10 | 0.52 |  0.64  |      41     |   81.78    |      0      |
|  Gen 48 | 48.44 | -75.30 | 0.51 |  0.64  |      55     |   75.11    |      0      |
|  Gen 49 | 48.00 | -71.70 | 0.55 |  0.64  |      60     |   73.33    |      0      |
|  Gen 50 | 49.33 | -72.50 | 0.51 |  0.64  |      56     |   75.11    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
