+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 51.77 | -169.67 | 0.60 |      92     |   78.25    |
|  Gen 2   | 50.83 | -168.97 | 0.58 |      90     |   78.72    |
|  Gen 3   | 51.06 | -167.90 | 0.62 |      89     |   78.96    |
|  Gen 4   | 50.83 | -165.77 | 0.60 |      96     |   77.07    |
|  Gen 5   | 50.12 | -166.13 | 0.61 |      85     |   79.91    |
|  Gen 6   | 50.83 | -164.47 | 0.60 |      90     |   78.72    |
|  Gen 7   | 51.06 | -163.53 | 0.57 |      94     |   77.78    |
|  Gen 8   | 50.83 | -163.50 | 0.59 |      93     |   78.01    |
|  Gen 9   | 50.35 | -163.83 | 0.60 |      91     |   78.25    |
|  Gen 10  | 50.59 | -163.57 | 0.60 |      93     |   78.01    |
|  Gen 11  | 50.83 | -163.10 | 0.60 |      94     |   77.78    |
|  Gen 12  | 50.12 | -163.67 | 0.57 |      90     |   78.72    |
|  Gen 13  | 50.59 | -163.13 | 0.61 |      88     |   79.20    |
|  Gen 14  | 51.06 | -162.57 | 0.58 |      88     |   79.20    |
|  Gen 15  | 50.59 | -162.93 | 0.60 |      88     |   79.20    |
|  Gen 16  | 50.12 | -163.40 | 0.59 |      86     |   79.67    |
|  Gen 17  | 50.12 | -163.37 | 0.57 |      87     |   79.43    |
|  Gen 18  | 50.35 | -162.87 | 0.59 |      92     |   78.25    |
|  Gen 19  | 51.06 | -161.67 | 0.59 |      90     |   78.72    |
|  Gen 20  | 50.59 | -161.83 | 0.59 |      91     |   78.49    |
| Best GC  | 51.77 | -169.67 | 0.60 |      92     |   78.25    |
| Best MFE | 51.77 | -169.67 | 0.60 |      92     |   78.25    |
| Best CAI | 49.88 | -160.80 | 0.62 |      85     |   79.91    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
