Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 47.11 | -59.90 | 0.50 |  1.67  |      54     |   76.00    |      0      |
|  Gen 2  | 48.44 | -60.40 | 0.50 |  1.66  |      51     |   77.33    |      0      |
|  Gen 3  | 48.89 | -63.57 | 0.52 |  1.65  |      54     |   76.00    |      0      |
|  Gen 4  | 47.56 | -71.90 | 0.59 |  1.65  |      48     |   78.67    |      0      |
|  Gen 5  | 44.89 | -59.87 | 0.48 |  1.63  |      52     |   76.89    |      0      |
|  Gen 6  | 47.56 | -65.30 | 0.52 |  1.62  |      48     |   78.67    |      0      |
|  Gen 7  | 45.78 | -62.70 | 0.49 |  1.60  |      46     |   79.56    |      0      |
|  Gen 8  | 50.22 | -73.73 | 0.57 |  1.60  |      54     |   76.00    |      0      |
|  Gen 9  | 48.00 | -71.37 | 0.55 |  1.59  |      54     |   76.00    |      0      |
|  Gen 10 | 48.00 | -69.83 | 0.54 |  1.59  |      48     |   78.67    |      0      |
|  Gen 11 | 50.67 | -64.00 | 0.49 |  1.58  |      53     |   76.44    |      0      |
|  Gen 12 | 51.56 | -75.10 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 13 | 48.89 | -71.70 | 0.55 |  1.58  |      57     |   73.78    |      0      |
|  Gen 14 | 53.78 | -76.40 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 15 | 48.89 | -68.30 | 0.52 |  1.57  |      53     |   76.44    |      0      |
|  Gen 16 | 50.67 | -72.10 | 0.55 |  1.57  |      46     |   79.56    |      0      |
|  Gen 17 | 48.00 | -64.90 | 0.49 |  1.57  |      55     |   75.11    |      0      |
|  Gen 18 | 51.11 | -70.90 | 0.54 |  1.57  |      46     |   79.11    |      0      |
|  Gen 19 | 50.67 | -71.20 | 0.54 |  1.56  |      54     |   76.00    |      0      |
|  Gen 20 | 50.67 | -82.17 | 0.62 |  1.56  |      45     |   79.56    |      0      |
|  Gen 21 | 52.00 | -72.93 | 0.55 |  1.56  |      56     |   74.67    |      0      |
|  Gen 22 | 47.56 | -75.00 | 0.56 |  1.55  |      47     |   79.11    |      0      |
|  Gen 23 | 49.78 | -68.20 | 0.51 |  1.55  |      54     |   75.56    |      0      |
|  Gen 24 | 48.00 | -67.17 | 0.50 |  1.55  |      48     |   78.67    |      0      |
|  Gen 25 | 47.56 | -62.97 | 0.47 |  1.55  |      53     |   76.44    |      0      |
|  Gen 26 | 52.00 | -76.70 | 0.57 |  1.55  |      50     |   77.33    |      0      |
|  Gen 27 | 48.89 | -73.30 | 0.54 |  1.55  |      54     |   75.56    |      0      |
|  Gen 28 | 47.56 | -63.10 | 0.47 |  1.55  |      54     |   76.00    |      0      |
|  Gen 29 | 48.89 | -71.63 | 0.53 |  1.54  |      49     |   77.78    |      0      |
|  Gen 30 | 50.67 | -70.97 | 0.52 |  1.54  |      59     |   73.33    |      0      |
|  Gen 31 | 51.11 | -74.90 | 0.55 |  1.54  |      52     |   76.89    |      0      |
|  Gen 32 | 51.11 | -76.20 | 0.56 |  1.53  |      51     |   77.33    |      0      |
|  Gen 33 | 46.22 | -67.80 | 0.50 |  1.53  |      43     |   80.89    |      0      |
|  Gen 34 | 47.11 | -70.37 | 0.52 |  1.53  |      57     |   74.67    |      0      |
|  Gen 35 | 50.67 | -73.30 | 0.54 |  1.53  |      46     |   79.11    |      0      |
|  Gen 36 | 47.56 | -70.33 | 0.51 |  1.53  |      43     |   80.44    |      0      |
|  Gen 37 | 48.89 | -71.70 | 0.52 |  1.52  |      51     |   77.33    |      0      |
|  Gen 38 | 46.22 | -70.47 | 0.51 |  1.52  |      52     |   76.44    |      0      |
|  Gen 39 | 49.33 | -69.10 | 0.50 |  1.52  |      54     |   76.00    |      0      |
|  Gen 40 | 49.78 | -73.33 | 0.53 |  1.51  |      48     |   78.67    |      0      |
|  Gen 41 | 51.11 | -74.90 | 0.54 |  1.51  |      49     |   78.22    |      0      |
|  Gen 42 | 48.89 | -72.20 | 0.52 |  1.51  |      47     |   78.67    |      0      |
|  Gen 43 | 50.22 | -76.50 | 0.55 |  1.51  |      48     |   78.67    |      0      |
|  Gen 44 | 46.67 | -70.33 | 0.50 |  1.50  |      45     |   80.00    |      0      |
|  Gen 45 | 47.56 | -74.70 | 0.53 |  1.50  |      46     |   79.11    |      0      |
|  Gen 46 | 50.67 | -75.83 | 0.54 |  1.50  |      44     |   80.00    |      0      |
|  Gen 47 | 48.44 | -70.40 | 0.50 |  1.50  |      46     |   79.11    |      0      |
|  Gen 48 | 49.78 | -72.90 | 0.52 |  1.50  |      57     |   74.22    |      0      |
|  Gen 49 | 48.89 | -69.03 | 0.49 |  1.50  |      64     |   71.11    |      0      |
|  Gen 50 | 47.11 | -68.73 | 0.49 |  1.50  |      51     |   77.33    |      0      |
| Best GC | 53.78 | -89.77 | 0.56 |  1.32  |      52     |   76.89    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
