+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 52.48 | -164.83 | 0.40 |      93     |   77.78    |
|  Gen 2   | 52.25 | -162.47 | 0.36 |     106     |   74.94    |
|  Gen 3   | 51.06 | -162.33 | 0.37 |     104     |   75.18    |
|  Gen 4   | 52.01 | -160.23 | 0.36 |     106     |   74.94    |
|  Gen 5   | 52.01 | -155.97 | 0.39 |     100     |   75.89    |
|  Gen 6   | 52.72 | -155.10 | 0.38 |     101     |   75.89    |
|  Gen 7   | 52.01 | -155.20 | 0.35 |     101     |   75.89    |
|  Gen 8   | 51.77 | -154.80 | 0.37 |     102     |   75.65    |
|  Gen 9   | 52.01 | -154.37 | 0.37 |     106     |   74.23    |
|  Gen 10  | 51.54 | -154.53 | 0.38 |      99     |   76.60    |
|  Gen 11  | 51.54 | -154.50 | 0.36 |      90     |   78.01    |
|  Gen 12  | 52.01 | -153.83 | 0.38 |     100     |   75.65    |
|  Gen 13  | 51.77 | -153.67 | 0.37 |      98     |   76.36    |
|  Gen 14  | 51.30 | -153.63 | 0.38 |     103     |   75.65    |
|  Gen 15  | 51.06 | -153.63 | 0.36 |      92     |   77.54    |
|  Gen 16  | 51.54 | -153.07 | 0.36 |      91     |   78.01    |
|  Gen 17  | 50.35 | -153.57 | 0.37 |     104     |   75.18    |
|  Gen 18  | 52.72 | -150.83 | 0.37 |      97     |   77.07    |
|  Gen 19  | 51.77 | -151.27 | 0.37 |     103     |   75.65    |
|  Gen 20  | 52.72 | -150.00 | 0.39 |     102     |   75.41    |
| Best GC  | 52.72 | -150.83 | 0.37 |      97     |   77.07    |
| Best MFE | 52.48 | -164.83 | 0.40 |      93     |   77.78    |
| Best CAI | 52.48 | -164.83 | 0.40 |      93     |   77.78    |
| Natural  | 44.68 | 0.47  -152.30 ||      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
