Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 50.83 | -163.77 | 0.55 |  1.18  |     101     |   76.12    |      0      |
|  Gen 2  | 49.17 | -169.20 | 0.54 |  1.16  |     110     |   73.52    |      0      |
|  Gen 3  | 49.17 | -159.40 | 0.53 |  1.14  |     105     |   74.70    |      0      |
|  Gen 4  | 49.17 | -160.60 | 0.53 |  1.13  |      90     |   78.72    |      0      |
|  Gen 5  | 49.65 | -165.73 | 0.53 |  1.13  |     108     |   74.23    |      0      |
|  Gen 6  | 49.88 | -168.67 | 0.53 |  1.13  |     108     |   74.23    |      0      |
|  Gen 7  | 50.59 | -168.20 | 0.52 |  1.12  |      95     |   77.07    |      0      |
|  Gen 8  | 49.17 | -161.67 | 0.52 |  1.11  |      93     |   78.01    |      0      |
|  Gen 9  | 50.59 | -160.57 | 0.52 |  1.11  |     101     |   75.65    |      0      |
|  Gen 10 | 50.35 | -163.20 | 0.52 |  1.11  |     108     |   74.47    |      0      |
|  Gen 11 | 51.77 | -167.70 | 0.52 |  1.11  |      94     |   77.54    |      0      |
|  Gen 12 | 49.17 | -172.73 | 0.51 |  1.10  |     105     |   74.94    |      0      |
|  Gen 13 | 50.59 | -159.67 | 0.51 |  1.09  |     103     |   75.18    |      0      |
|  Gen 14 | 50.83 | -181.20 | 0.51 |  1.09  |     103     |   75.65    |      0      |
|  Gen 15 | 50.59 | -165.90 | 0.51 |  1.09  |      97     |   76.83    |      0      |
|  Gen 16 | 50.12 | -168.13 | 0.51 |  1.09  |     103     |   75.65    |      0      |
|  Gen 17 | 50.35 | -154.40 | 0.51 |  1.08  |     105     |   74.47    |      0      |
|  Gen 18 | 47.75 | -157.40 | 0.51 |  1.08  |      99     |   76.36    |      0      |
|  Gen 19 | 50.35 | -168.33 | 0.51 |  1.08  |     112     |   73.52    |      0      |
|  Gen 20 | 50.83 | -168.43 | 0.50 |  1.08  |      92     |   78.01    |      0      |
|  Gen 21 | 50.35 | -153.30 | 0.50 |  1.08  |      99     |   76.60    |      0      |
|  Gen 22 | 46.81 | -150.63 | 0.50 |  1.08  |     103     |   75.18    |      0      |
|  Gen 23 | 50.12 | -162.23 | 0.50 |  1.07  |     104     |   75.41    |      0      |
|  Gen 24 | 47.75 | -153.27 | 0.50 |  1.07  |     102     |   75.89    |      0      |
|  Gen 25 | 49.17 | -161.73 | 0.50 |  1.07  |     105     |   74.70    |      0      |
|  Gen 26 | 49.41 | -151.90 | 0.50 |  1.07  |     109     |   74.23    |      0      |
|  Gen 27 | 49.41 | -160.13 | 0.50 |  1.06  |      98     |   76.83    |      0      |
|  Gen 28 | 49.88 | -153.10 | 0.50 |  1.06  |     104     |   74.70    |      0      |
|  Gen 29 | 49.41 | -147.90 | 0.50 |  1.06  |      94     |   77.30    |      0      |
|  Gen 30 | 46.34 | -161.03 | 0.49 |  1.06  |      92     |   78.25    |      0      |
|  Gen 31 | 49.65 | -165.00 | 0.49 |  1.05  |     104     |   74.47    |      0      |
|  Gen 32 | 48.94 | -160.80 | 0.49 |  1.05  |      97     |   77.07    |      0      |
|  Gen 33 | 46.81 | -160.73 | 0.49 |  1.05  |     101     |   75.89    |      0      |
|  Gen 34 | 47.99 | -157.30 | 0.49 |  1.05  |      98     |   76.36    |      0      |
|  Gen 35 | 48.94 | -147.87 | 0.49 |  1.05  |     111     |   73.52    |      0      |
|  Gen 36 | 49.41 | -171.90 | 0.49 |  1.05  |     108     |   74.23    |      0      |
|  Gen 37 | 47.52 | -155.50 | 0.49 |  1.05  |     102     |   75.65    |      0      |
|  Gen 38 | 48.70 | -155.63 | 0.49 |  1.05  |     100     |   75.89    |      0      |
|  Gen 39 | 47.99 | -159.63 | 0.49 |  1.05  |     113     |   73.29    |      0      |
|  Gen 40 | 49.17 | -162.20 | 0.49 |  1.04  |      98     |   76.60    |      0      |
|  Gen 41 | 48.94 | -157.13 | 0.49 |  1.04  |     103     |   75.18    |      0      |
|  Gen 42 | 49.17 | -149.70 | 0.49 |  1.04  |     100     |   76.36    |      0      |
|  Gen 43 | 48.94 | -161.50 | 0.49 |  1.04  |     103     |   75.41    |      0      |
|  Gen 44 | 48.46 | -167.23 | 0.49 |  1.04  |      99     |   76.36    |      0      |
|  Gen 45 | 49.17 | -153.93 | 0.49 |  1.04  |     107     |   74.47    |      0      |
|  Gen 46 | 46.81 | -154.07 | 0.49 |  1.04  |     105     |   74.70    |      0      |
|  Gen 47 | 48.23 | -156.67 | 0.49 |  1.04  |     101     |   76.12    |      0      |
|  Gen 48 | 49.65 | -158.50 | 0.49 |  1.04  |      97     |   76.36    |      0      |
|  Gen 49 | 50.35 | -168.73 | 0.49 |  1.04  |     108     |   74.23    |      0      |
|  Gen 50 | 47.99 | -152.03 | 0.48 |  1.04  |      96     |   77.07    |      0      |
| Natural | 44.68 | -152.30 | 0.47 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
